pop_ani,syn2b_synteny,same_patient,mu_i,mu_j
0.447586,0.977480,False,0.000019,0.000215
0.441828,0.975701,False,0.000019,0.000169
0.448827,0.984926,False,0.000019,0.000242
0.433294,0.958353,False,0.000019,0.000143
0.438530,0.969844,False,0.000019,0.000134
0.441936,0.961313,False,0.000019,0.000191
0.447545,0.981132,False,0.000019,0.000082
0.448059,0.969241,False,0.000019,0.000203
0.448750,0.985572,False,0.000019,0.000137
0.424751,0.889526,False,0.000019,0.000184
0.446068,0.950734,False,0.000019,0.000074
0.446751,0.975220,False,0.000019,0.000169
0.447163,0.979357,False,0.000019,0.000182
0.277211,0.924324,False,0.000019,0.000223
0.311066,0.961936,False,0.000019,0.000203
0.446828,0.962346,False,0.000019,0.000209
0.447876,0.970473,False,0.000019,0.000200
0.402039,0.977480,False,0.000019,0.000241
0.978552,0.976041,True,0.000019,0.000014
0.999966,0.996196,True,0.000019,0.000016
0.999969,0.996196,True,0.000019,0.000018
0.999968,0.996196,True,0.000019,0.000015
0.663184,0.988664,True,0.000019,0.000010
0.991978,0.970133,True,0.000019,0.000011
0.999958,0.989581,True,0.000019,0.000020
0.999968,0.996196,True,0.000019,0.000019
0.981353,0.961060,True,0.000019,0.000010
0.959227,0.975723,True,0.000019,0.000019
0.999963,0.996196,True,0.000019,0.000016
0.994950,0.979329,False,0.000019,0.000024
0.999942,0.988649,False,0.000019,0.000041
0.991876,0.983862,False,0.000019,0.000032
0.812482,0.992412,False,0.000019,0.000029
0.991529,0.983905,False,0.000019,0.000032
0.973795,0.986586,False,0.000019,0.000014
0.988509,0.977480,False,0.000019,0.000014
0.328655,0.958443,False,0.000019,0.000019
0.999957,0.996196,False,0.000019,0.000034
0.985038,0.988236,False,0.000019,0.000019
0.999959,0.996196,False,0.000019,0.000020
0.984036,0.986180,False,0.000019,0.000022
0.739940,0.974766,False,0.000019,0.000023
0.461665,0.993351,False,0.000019,0.000020
0.979480,0.961008,False,0.000019,0.000016
0.999975,0.996196,False,0.000019,0.000011
0.998976,0.993351,False,0.000019,0.000021
0.999960,0.996196,False,0.000019,0.000021
0.999964,0.996196,False,0.000019,0.000021
0.999965,0.993360,False,0.000019,0.000024
0.999955,0.989595,False,0.000019,0.000024
0.999961,0.996196,False,0.000019,0.000020
0.977739,0.983600,False,0.000019,0.000020
0.723406,0.993360,False,0.000019,0.000010
0.999966,0.996196,False,0.000019,0.000018
0.999959,0.993351,False,0.000019,0.000022
0.479982,0.943437,False,0.000019,0.000095
0.287116,0.963560,False,0.000019,0.000023
0.714345,0.959381,False,0.000019,0.000086
0.919872,0.956998,False,0.000019,0.000073
0.298392,0.972002,False,0.000019,0.000092
0.979226,0.987561,False,0.000019,0.000098
0.999948,0.996196,False,0.000019,0.000037
0.393662,0.989595,False,0.000019,0.000091
0.643306,0.962759,False,0.000019,0.000010
0.647130,0.978331,False,0.000019,0.000119
0.349111,0.966164,False,0.000019,0.000109
0.991950,0.966489,False,0.000019,0.000060
0.279612,0.972074,False,0.000019,0.000117
0.980814,0.974108,False,0.000019,0.000116
0.422822,0.986757,False,0.000019,0.000028
0.280083,0.965604,False,0.000019,0.000182
0.999890,0.984906,False,0.000019,0.000095
0.526900,0.914437,False,0.000019,0.000248
0.340992,0.928931,False,0.000019,0.000140
0.822147,0.939917,False,0.000019,0.000171
0.693519,0.973797,False,0.000019,0.000215
0.441451,0.972037,False,0.000019,0.000169
0.979833,0.981208,False,0.000019,0.000242
0.435227,0.954737,False,0.000019,0.000143
0.979188,0.967993,False,0.000019,0.000134
0.496025,0.957694,False,0.000019,0.000191
0.683014,0.977419,False,0.000019,0.000082
0.773559,0.965604,False,0.000019,0.000203
0.968105,0.981846,False,0.000019,0.000137
0.424360,0.886289,False,0.000019,0.000184
0.492826,0.947148,False,0.000019,0.000074
0.509614,0.971520,False,0.000019,0.000169
0.779162,0.975668,False,0.000019,0.000182
0.277413,0.920924,False,0.000019,0.000223
0.311274,0.958333,False,0.000019,0.000203
0.538219,0.958691,False,0.000019,0.000209
0.840342,0.966834,False,0.000019,0.000200
0.401763,0.973797,False,0.000019,0.000241
0.978553,0.979771,True,0.000014,0.000016
0.978556,0.979771,True,0.000014,0.000018
0.978555,0.979771,True,0.000014,0.000015
0.652367,0.972352,True,0.000014,0.000010
0.970565,0.954110,True,0.000014,0.000011
0.978544,0.973218,True,0.000014,0.000020
0.978554,0.979771,True,0.000014,0.000019
0.959942,0.944673,True,0.000014,0.000010
0.937814,0.957706,True,0.000014,0.000019
0.978549,0.979771,True,0.000014,0.000016
0.973539,0.963156,False,0.000014,0.000024
0.978529,0.972277,False,0.000014,0.000041
0.970463,0.967720,False,0.000014,0.000032
0.791020,0.976041,False,0.000014,0.000029
0.970116,0.967614,False,0.000014,0.000032
0.952382,0.970257,False,0.000014,0.000014
0.967096,0.961341,False,0.000014,0.000014
0.328764,0.942152,False,0.000014,0.000019
0.978543,0.979771,False,0.000014,0.000034
0.963623,0.971908,False,0.000014,0.000019
0.978546,0.979771,False,0.000014,0.000020
0.962622,0.970102,False,0.000014,0.000022
0.718520,0.958454,False,0.000014,0.000023
0.450808,0.976963,False,0.000014,0.000020
0.958067,0.945112,False,0.000014,0.000016
0.978562,0.979771,False,0.000014,0.000011
0.977510,0.976936,False,0.000014,0.000021
0.978547,0.979771,False,0.000014,0.000021
0.978550,0.979771,False,0.000014,0.000021
0.978552,0.976978,False,0.000014,0.000024
0.978543,0.973265,False,0.000014,0.000024
0.978548,0.979771,False,0.000014,0.000020
0.956326,0.967493,False,0.000014,0.000020
0.701991,0.976978,False,0.000014,0.000010
0.978553,0.979771,False,0.000014,0.000018
0.978546,0.976936,False,0.000014,0.000022
0.469265,0.927943,False,0.000014,0.000095
0.287016,0.947571,False,0.000014,0.000023
0.692889,0.943116,False,0.000014,0.000086
0.898457,0.940955,False,0.000014,0.000073
0.298302,0.956050,False,0.000014,0.000092
0.957817,0.971233,False,0.000014,0.000098
0.978535,0.979771,False,0.000014,0.000037
0.383033,0.973265,False,0.000014,0.000091
0.632506,0.947249,False,0.000014,0.000010
0.636328,0.961979,False,0.000014,0.000119
0.348921,0.950027,False,0.000014,0.000109
0.970539,0.950174,False,0.000014,0.000060
0.279591,0.956293,False,0.000014,0.000117
0.959404,0.957840,False,0.000014,0.000116
0.412091,0.970403,False,0.000014,0.000028
0.280093,0.949310,False,0.000014,0.000182
0.978481,0.968559,False,0.000014,0.000095
0.516067,0.898736,False,0.000014,0.000248
0.341115,0.913207,False,0.000014,0.000140
0.800708,0.923919,False,0.000014,0.000171
0.672066,0.957601,False,0.000014,0.000215
0.430586,0.955831,False,0.000014,0.000169
0.958424,0.964942,False,0.000014,0.000242
0.424509,0.938963,False,0.000014,0.000143
0.957778,0.950406,False,0.000014,0.000134
0.485376,0.941665,False,0.000014,0.000191
0.668895,0.962094,False,0.000014,0.000082
0.752111,0.949500,False,0.000014,0.000203
0.946694,0.965585,False,0.000014,0.000137
0.413621,0.870389,False,0.000014,0.000184
0.482140,0.931446,False,0.000014,0.000074
0.498853,0.955303,False,0.000014,0.000169
0.757747,0.959482,False,0.000014,0.000182
0.277473,0.905225,False,0.000014,0.000223
0.311234,0.942078,False,0.000014,0.000203
0.527504,0.942578,False,0.000014,0.000209
0.818933,0.952483,False,0.000014,0.000200
0.390974,0.957947,False,0.000014,0.000241
0.999970,1.000000,True,0.000016,0.000018
0.999969,1.000000,True,0.000016,0.000015
0.663187,0.992422,True,0.000016,0.000010
0.991980,0.973797,True,0.000016,0.000011
0.999959,0.993351,True,0.000016,0.000020
0.999969,1.000000,True,0.000016,0.000019
0.981355,0.964675,True,0.000016,0.000010
0.959228,0.977302,True,0.000016,0.000019
0.999964,1.000000,True,0.000016,0.000016
0.994951,0.983042,False,0.000016,0.000024
0.999943,0.992412,False,0.000016,0.000041
0.991877,0.987628,False,0.000016,0.000032
0.812482,0.996196,False,0.000016,0.000029
0.991530,0.987646,False,0.000016,0.000032
0.973796,0.990354,False,0.000016,0.000014
0.988510,0.981183,False,0.000016,0.000014
0.328654,0.962037,False,0.000016,0.000019
0.999958,1.000000,False,0.000016,0.000034
0.985038,0.992000,False,0.000016,0.000019
0.999960,1.000000,False,0.000016,0.000020
0.984036,0.989950,False,0.000016,0.000022
0.739940,0.978447,False,0.000016,0.000023
0.461669,0.997143,False,0.000016,0.000020
0.979482,0.964628,False,0.000016,0.000016
0.999977,1.000000,False,0.000016,0.000011
0.998977,0.997143,False,0.000016,0.000021
0.999962,1.000000,False,0.000016,0.000021
0.999965,1.000000,False,0.000016,0.000021
0.999966,0.997147,False,0.000016,0.000024
0.999956,0.993360,False,0.000016,0.000024
0.999962,1.000000,False,0.000016,0.000020
0.977740,0.987377,False,0.000016,0.000020
0.723409,0.997147,False,0.000016,0.000010
0.999967,1.000000,False,0.000016,0.000018
0.999960,0.997143,False,0.000016,0.000022
0.479988,0.947014,False,0.000016,0.000095
0.287111,0.967193,False,0.000016,0.000023
0.714343,0.962996,False,0.000016,0.000086
0.919871,0.960638,False,0.000016,0.000073
0.298387,0.975700,False,0.000016,0.000092
0.979227,0.991328,False,0.000016,0.000098
0.999949,1.000000,False,0.000016,0.000037
0.393665,0.993360,False,0.000016,0.000091
0.643305,0.966433,False,0.000016,0.000010
0.647133,0.982051,False,0.000016,0.000119
0.349110,0.969814,False,0.000016,0.000109
0.991951,0.970133,False,0.000016,0.000060
0.279611,0.975733,False,0.000016,0.000117
0.980815,0.977841,False,0.000016,0.000116
0.422827,0.990515,False,0.000016,0.000028
0.280084,0.969241,False,0.000016,0.000182
0.999891,0.988649,False,0.000016,0.000095
0.526900,0.917819,False,0.000016,0.000248
0.340994,0.932359,False,0.000016,0.000140
0.822151,0.943442,False,0.000016,0.000171
0.693521,0.977480,False,0.000016,0.000215
0.441455,0.975701,False,0.000016,0.000169
0.979833,0.984926,False,0.000016,0.000242
0.435230,0.958353,False,0.000016,0.000143
0.979189,0.969844,False,0.000016,0.000134
0.496026,0.961313,False,0.000016,0.000191
0.683017,0.981132,False,0.000016,0.000082
0.773563,0.969241,False,0.000016,0.000203
0.968107,0.985572,False,0.000016,0.000137
0.424372,0.889526,False,0.000016,0.000184
0.492824,0.950734,False,0.000016,0.000074
0.509616,0.975220,False,0.000016,0.000169
0.779162,0.979357,False,0.000016,0.000182
0.277419,0.924324,False,0.000016,0.000223
0.311279,0.961936,False,0.000016,0.000203
0.538225,0.962346,False,0.000016,0.000209
0.840348,0.970473,False,0.000016,0.000200
0.401763,0.977480,False,0.000016,0.000241
0.999971,1.000000,True,0.000018,0.000015
0.663184,0.992422,True,0.000018,0.000010
0.991982,0.973797,True,0.000018,0.000011
0.999962,0.993351,True,0.000018,0.000020
0.999971,1.000000,True,0.000018,0.000019
0.981356,0.964675,True,0.000018,0.000010
0.959229,0.977302,True,0.000018,0.000019
0.999966,1.000000,True,0.000018,0.000016
0.994953,0.983042,False,0.000018,0.000024
0.999945,0.992412,False,0.000018,0.000041
0.991879,0.987628,False,0.000018,0.000032
0.812480,0.996196,False,0.000018,0.000029
0.991533,0.987646,False,0.000018,0.000032
0.973798,0.990354,False,0.000018,0.000014
0.988513,0.981183,False,0.000018,0.000014
0.328654,0.962037,False,0.000018,0.000019
0.999960,1.000000,False,0.000018,0.000034
0.985040,0.992000,False,0.000018,0.000019
0.999963,1.000000,False,0.000018,0.000020
0.984040,0.989950,False,0.000018,0.000022
0.739935,0.978447,False,0.000018,0.000023
0.461665,0.997143,False,0.000018,0.000020
0.979483,0.964628,False,0.000018,0.000016
0.999979,1.000000,False,0.000018,0.000011
0.998979,0.997143,False,0.000018,0.000021
0.999964,1.000000,False,0.000018,0.000021
0.999968,1.000000,False,0.000018,0.000021
0.999969,0.997147,False,0.000018,0.000024
0.999959,0.993360,False,0.000018,0.000024
0.999965,1.000000,False,0.000018,0.000020
0.977743,0.987377,False,0.000018,0.000020
0.723405,0.997147,False,0.000018,0.000010
0.999969,1.000000,False,0.000018,0.000018
0.999963,0.997143,False,0.000018,0.000022
0.479984,0.947014,False,0.000018,0.000095
0.287113,0.967193,False,0.000018,0.000023
0.714345,0.962996,False,0.000018,0.000086
0.919872,0.960638,False,0.000018,0.000073
0.298386,0.975700,False,0.000018,0.000092
0.979230,0.991328,False,0.000018,0.000098
0.999951,1.000000,False,0.000018,0.000037
0.393661,0.993360,False,0.000018,0.000091
0.643308,0.966433,False,0.000018,0.000010
0.647130,0.982051,False,0.000018,0.000119
0.349111,0.969814,False,0.000018,0.000109
0.991954,0.970133,False,0.000018,0.000060
0.279613,0.975733,False,0.000018,0.000117
0.980818,0.977841,False,0.000018,0.000116
0.422825,0.990515,False,0.000018,0.000028
0.280080,0.969241,False,0.000018,0.000182
0.999894,0.988649,False,0.000018,0.000095
0.526900,0.917819,False,0.000018,0.000248
0.340994,0.932359,False,0.000018,0.000140
0.822148,0.943442,False,0.000018,0.000171
0.693519,0.977480,False,0.000018,0.000215
0.441454,0.975701,False,0.000018,0.000169
0.979836,0.984926,False,0.000018,0.000242
0.435224,0.958353,False,0.000018,0.000143
0.979191,0.969844,False,0.000018,0.000134
0.496026,0.961313,False,0.000018,0.000191
0.683014,0.981132,False,0.000018,0.000082
0.773560,0.969241,False,0.000018,0.000203
0.968108,0.985572,False,0.000018,0.000137
0.424367,0.889526,False,0.000018,0.000184
0.492824,0.950734,False,0.000018,0.000074
0.509613,0.975220,False,0.000018,0.000169
0.779161,0.979357,False,0.000018,0.000182
0.277416,0.924324,False,0.000018,0.000223
0.311275,0.961936,False,0.000018,0.000203
0.538222,0.962346,False,0.000018,0.000209
0.840346,0.970473,False,0.000018,0.000200
0.401764,0.977480,False,0.000018,0.000241
0.663185,0.992422,True,0.000015,0.000010
0.991981,0.973797,True,0.000015,0.000011
0.999960,0.993351,True,0.000015,0.000020
0.999970,1.000000,True,0.000015,0.000019
0.981355,0.964675,True,0.000015,0.000010
0.959229,0.977302,True,0.000015,0.000019
0.999965,1.000000,True,0.000015,0.000016
0.994952,0.983042,False,0.000015,0.000024
0.999944,0.992412,False,0.000015,0.000041
0.991878,0.987628,False,0.000015,0.000032
0.812480,0.996196,False,0.000015,0.000029
0.991532,0.987646,False,0.000015,0.000032
0.973796,0.990354,False,0.000015,0.000014
0.988512,0.981183,False,0.000015,0.000014
0.328652,0.962037,False,0.000015,0.000019
0.999959,1.000000,False,0.000015,0.000034
0.985039,0.992000,False,0.000015,0.000019
0.999962,1.000000,False,0.000015,0.000020
0.984038,0.989950,False,0.000015,0.000022
0.739938,0.978447,False,0.000015,0.000023
0.461661,0.997143,False,0.000015,0.000020
0.979483,0.964628,False,0.000015,0.000016
0.999978,1.000000,False,0.000015,0.000011
0.998978,0.997143,False,0.000015,0.000021
0.999963,1.000000,False,0.000015,0.000021
0.999966,1.000000,False,0.000015,0.000021
0.999968,0.997147,False,0.000015,0.000024
0.999957,0.993360,False,0.000015,0.000024
0.999963,1.000000,False,0.000015,0.000020
0.977742,0.987377,False,0.000015,0.000020
0.723405,0.997147,False,0.000015,0.000010
0.999968,1.000000,False,0.000015,0.000018
0.999962,0.997143,False,0.000015,0.000022
0.479987,0.947014,False,0.000015,0.000095
0.287110,0.967193,False,0.000015,0.000023
0.714347,0.962996,False,0.000015,0.000086
0.919873,0.960638,False,0.000015,0.000073
0.298386,0.975700,False,0.000015,0.000092
0.979229,0.991328,False,0.000015,0.000098
0.999950,1.000000,False,0.000015,0.000037
0.393666,0.993360,False,0.000015,0.000091
0.643307,0.966433,False,0.000015,0.000010
0.647131,0.982051,False,0.000015,0.000119
0.349113,0.969814,False,0.000015,0.000109
0.991953,0.970133,False,0.000015,0.000060
0.279613,0.975733,False,0.000015,0.000117
0.980817,0.977841,False,0.000015,0.000116
0.422825,0.990515,False,0.000015,0.000028
0.280080,0.969241,False,0.000015,0.000182
0.999893,0.988649,False,0.000015,0.000095
0.526897,0.917819,False,0.000015,0.000248
0.340994,0.932359,False,0.000015,0.000140
0.822150,0.943442,False,0.000015,0.000171
0.693518,0.977480,False,0.000015,0.000215
0.441454,0.975701,False,0.000015,0.000169
0.979834,0.984926,False,0.000015,0.000242
0.435226,0.958353,False,0.000015,0.000143
0.979191,0.969844,False,0.000015,0.000134
0.496023,0.961313,False,0.000015,0.000191
0.683012,0.981132,False,0.000015,0.000082
0.773558,0.969241,False,0.000015,0.000203
0.968107,0.985572,False,0.000015,0.000137
0.424365,0.889526,False,0.000015,0.000184
0.492819,0.950734,False,0.000015,0.000074
0.509615,0.975220,False,0.000015,0.000169
0.779159,0.979357,False,0.000015,0.000182
0.277416,0.924324,False,0.000015,0.000223
0.311273,0.961936,False,0.000015,0.000203
0.538220,0.962346,False,0.000015,0.000209
0.840344,0.970473,False,0.000015,0.000200
0.401764,0.977480,False,0.000015,0.000241
0.655194,0.966534,True,0.000010,0.000011
0.663181,0.985849,True,0.000010,0.000020
0.663184,0.992422,True,0.000010,0.000019
0.663380,0.957520,True,0.000010,0.000010
0.642753,0.969803,True,0.000010,0.000019
0.663184,0.992422,True,0.000010,0.000016
0.658461,0.977510,False,0.000010,0.000024
0.663167,0.984926,False,0.000010,0.000041
0.659177,0.980139,False,0.000010,0.000032
0.664077,0.988664,False,0.000010,0.000029
0.663220,0.980211,False,0.000010,0.000032
0.663149,0.982863,False,0.000010,0.000014
0.651723,0.973832,False,0.000010,0.000014
0.327747,0.954928,False,0.000010,0.000019
0.663184,0.992422,False,0.000010,0.000034
0.663300,0.984513,False,0.000010,0.000019
0.663174,0.992422,False,0.000010,0.000020
0.647257,0.982476,False,0.000010,0.000022
0.662972,0.971144,False,0.000010,0.000023
0.461985,0.989595,False,0.000010,0.000020
0.642697,0.961060,False,0.000010,0.000016
0.663187,0.992422,False,0.000010,0.000011
0.664160,0.989595,False,0.000010,0.000021
0.663181,0.992422,False,0.000010,0.000021
0.663179,0.992422,False,0.000010,0.000021
0.663185,0.989609,False,0.000010,0.000024
0.663176,0.985868,False,0.000010,0.000024
0.663182,0.992422,False,0.000010,0.000020
0.652055,0.979877,False,0.000010,0.000020
0.663043,0.989609,False,0.000010,0.000010
0.663185,0.992422,False,0.000010,0.000018
0.663182,0.989595,False,0.000010,0.000022
0.479924,0.941732,False,0.000010,0.000095
0.286891,0.960001,False,0.000010,0.000023
0.650254,0.955845,False,0.000010,0.000086
0.662839,0.953446,False,0.000010,0.000073
0.297903,0.968370,False,0.000010,0.000092
0.663179,0.983839,False,0.000010,0.000098
0.663174,0.992422,False,0.000010,0.000037
0.393958,0.985868,False,0.000010,0.000091
0.638696,0.959148,False,0.000010,0.000010
0.647012,0.974665,False,0.000010,0.000119
0.348108,0.962585,False,0.000010,0.000109
0.663103,0.962914,False,0.000010,0.000060
0.279184,0.968477,False,0.000010,0.000117
0.653611,0.970427,False,0.000010,0.000116
0.422602,0.983042,False,0.000010,0.000028
0.278856,0.962037,False,0.000010,0.000182
0.663141,0.981208,False,0.000010,0.000095
0.526063,0.911188,False,0.000010,0.000248
0.341004,0.925572,False,0.000010,0.000140
0.654792,0.936478,False,0.000010,0.000171
0.663727,0.970173,False,0.000010,0.000215
0.441947,0.968435,False,0.000010,0.000169
0.662848,0.977540,False,0.000010,0.000242
0.434893,0.951346,False,0.000010,0.000143
0.642452,0.962578,False,0.000010,0.000134
0.495717,0.954149,False,0.000010,0.000191
0.663600,0.973762,False,0.000010,0.000082
0.663985,0.962037,False,0.000010,0.000203
0.662995,0.978170,False,0.000010,0.000137
0.424620,0.883208,False,0.000010,0.000184
0.492696,0.943663,False,0.000010,0.000074
0.510136,0.967888,False,0.000010,0.000169
0.663172,0.972037,False,0.000010,0.000182
0.277914,0.917647,False,0.000010,0.000223
0.310927,0.954809,False,0.000010,0.000203
0.538363,0.955122,False,0.000010,0.000209
0.662998,0.963264,False,0.000010,0.000200
0.401836,0.970173,False,0.000010,0.000241
0.991971,0.967377,True,0.000011,0.000020
0.991981,0.973797,True,0.000011,0.000019
0.973367,0.939765,True,0.000011,0.000010
0.951240,0.950968,True,0.000011,0.000019
0.991976,0.973797,True,0.000011,0.000016
0.986964,0.957464,False,0.000011,0.000024
0.991955,0.966489,False,0.000011,0.000041
0.987533,0.967222,False,0.000011,0.000032
0.804475,0.970133,False,0.000011,0.000029
0.983544,0.961877,False,0.000011,0.000032
0.965809,0.964357,False,0.000011,0.000014
0.980522,0.955673,False,0.000011,0.000014
0.328604,0.937273,False,0.000011,0.000019
0.991970,0.973797,False,0.000011,0.000034
0.977050,0.966063,False,0.000011,0.000019
0.991972,0.973797,False,0.000011,0.000020
0.976050,0.964192,False,0.000011,0.000022
0.731949,0.953088,False,0.000011,0.000023
0.453662,0.971028,False,0.000011,0.000020
0.971494,0.939687,False,0.000011,0.000016
0.991989,0.973797,False,0.000011,0.000011
0.990969,0.971028,False,0.000011,0.000021
0.991974,0.973797,False,0.000011,0.000021
0.991977,0.973797,False,0.000011,0.000021
0.991978,0.971067,False,0.000011,0.000024
0.991968,0.967420,False,0.000011,0.000024
0.991975,0.973797,False,0.000011,0.000020
0.969754,0.961271,False,0.000011,0.000020
0.715415,0.971067,False,0.000011,0.000010
0.991979,0.973797,False,0.000011,0.000018
0.991972,0.971028,False,0.000011,0.000022
0.471995,0.922217,False,0.000011,0.000095
0.287055,0.942141,False,0.000011,0.000023
0.706339,0.938076,False,0.000011,0.000086
0.911882,0.935450,False,0.000011,0.000073
0.298417,0.950177,False,0.000011,0.000092
0.971241,0.965366,False,0.000011,0.000098
0.991961,0.973797,False,0.000011,0.000037
0.393809,0.967420,False,0.000011,0.000091
0.635313,0.941122,False,0.000011,0.000010
0.639115,0.956424,False,0.000011,0.000119
0.349102,0.946408,False,0.000011,0.000109
0.983963,0.945026,False,0.000011,0.000060
0.279662,0.950524,False,0.000011,0.000117
0.972831,0.952108,False,0.000011,0.000116
0.422834,0.964628,False,0.000011,0.000028
0.280163,0.944183,False,0.000011,0.000182
0.991906,0.962865,False,0.000011,0.000095
0.518901,0.894481,False,0.000011,0.000248
0.341138,0.908498,False,0.000011,0.000140
0.814151,0.919000,False,0.000011,0.000171
0.685515,0.952105,False,0.000011,0.000215
0.433467,0.950459,False,0.000011,0.000169
0.971850,0.959313,False,0.000011,0.000242
0.429551,0.935427,False,0.000011,0.000143
0.971203,0.944725,False,0.000011,0.000134
0.488035,0.936315,False,0.000011,0.000191
0.675008,0.955556,False,0.000011,0.000082
0.765559,0.944183,False,0.000011,0.000203
0.960119,0.959899,False,0.000011,0.000137
0.416380,0.867128,False,0.000011,0.000184
0.484829,0.925915,False,0.000011,0.000074
0.501604,0.949679,False,0.000011,0.000169
0.771171,0.953947,False,0.000011,0.000182
0.277487,0.900885,False,0.000011,0.000223
0.311076,0.937109,False,0.000011,0.000203
0.530209,0.937076,False,0.000011,0.000209
0.832360,0.945388,False,0.000011,0.000200
0.401709,0.955673,False,0.000011,0.000241
0.999960,0.993351,True,0.000020,0.000019
0.981346,0.958333,True,0.000020,0.000010
0.959219,0.970665,True,0.000020,0.000019
0.999956,0.993351,True,0.000020,0.000016
0.994943,0.976542,False,0.000020,0.000024
0.999935,0.985830,False,0.000020,0.000041
0.991869,0.981030,False,0.000020,0.000032
0.812475,0.989581,False,0.000020,0.000029
0.991522,0.981100,False,0.000020,0.000032
0.973787,0.983761,False,0.000020,0.000014
0.988501,0.974699,False,0.000020,0.000014
0.328652,0.955731,False,0.000020,0.000019
0.999950,0.993351,False,0.000020,0.000034
0.985031,0.985449,False,0.000020,0.000019
0.999952,0.993351,False,0.000020,0.000020
0.984029,0.983354,False,0.000020,0.000022
0.739933,0.972000,False,0.000020,0.000023
0.461668,0.990515,False,0.000020,0.000020
0.979473,0.958278,False,0.000020,0.000016
0.999968,0.993351,False,0.000020,0.000011
0.998969,0.990515,False,0.000020,0.000021
0.999953,0.993351,False,0.000020,0.000021
0.999957,0.993351,False,0.000020,0.000021
0.999958,0.990528,False,0.000020,0.000024
0.999948,0.986775,False,0.000020,0.000024
0.999954,0.993351,False,0.000020,0.000020
0.977734,0.980768,False,0.000020,0.000020
0.723398,0.990528,False,0.000020,0.000010
0.999959,0.993351,False,0.000020,0.000018
0.999952,0.990515,False,0.000020,0.000022
0.479989,0.940748,False,0.000020,0.000095
0.287113,0.960847,False,0.000020,0.000023
0.714341,0.956661,False,0.000020,0.000086
0.919867,0.954273,False,0.000020,0.000073
0.298377,0.969221,False,0.000020,0.000092
0.979223,0.984740,False,0.000020,0.000098
0.999941,0.993351,False,0.000020,0.000037
0.393665,0.986775,False,0.000020,0.000091
0.643305,0.959972,False,0.000020,0.000010
0.647129,0.975538,False,0.000020,0.000119
0.349114,0.963455,False,0.000020,0.000109
0.991943,0.963745,False,0.000020,0.000060
0.279609,0.969323,False,0.000020,0.000117
0.980808,0.971288,False,0.000020,0.000116
0.422824,0.985811,False,0.000020,0.000028
0.280083,0.962865,False,0.000020,0.000182
0.999883,0.982100,False,0.000020,0.000095
0.526898,0.911856,False,0.000020,0.000248
0.340992,0.926306,False,0.000020,0.000140
0.822144,0.937236,False,0.000020,0.000171
0.693516,0.971028,False,0.000020,0.000215
0.441454,0.969282,False,0.000020,0.000169
0.979825,0.978418,False,0.000020,0.000242
