genome_i,genome_j,phylogroup_i,phylogroup_j,distance
A_2,A_8,A,A,0.016437
A_2,A_9,A,A,0.020217
A_2,A_10,A,A,0.020976
A_2,B1_1,A,B1,0.206157
A_2,B1_2,A,B1,0.177875
A_2,B1_3,A,B1,0.175944
A_2,B1_4,A,B1,0.219479
A_2,B1_5,A,B1,0.161227
A_2,B1_6,A,B1,0.189430
A_2,B1_7,A,B1,0.194324
A_2,B1_8,A,B1,0.189279
A_2,B1_9,A,B1,0.068677
A_2,B1_10,A,B1,0.204942
A_2,B2-1_1,A,B2-1,0.249241
A_2,B2-1_2,A,B2-1,0.122604
A_2,B2-1_3,A,B2-1,0.272621
A_2,B2-1_4,A,B2-1,0.174486
A_2,B2-1_5,A,B2-1,0.201630
A_2,B2-1_6,A,B2-1,0.236744
A_2,B2-1_7,A,B2-1,0.265109
A_2,B2-1_8,A,B2-1,0.365800
A_2,B2-1_9,A,B2-1,0.218809
A_2,B2-1_10,A,B2-1,0.073737
A_2,B2-2_1,A,B2-2,0.180845
A_2,B2-2_2,A,B2-2,0.337920
A_2,B2-2_3,A,B2-2,0.179047
A_2,B2-2_4,A,B2-2,0.241017
A_2,B2-2_5,A,B2-2,0.229142
A_2,B2-2_6,A,B2-2,0.188340
A_2,B2-2_7,A,B2-2,0.180670
A_2,B2-2_8,A,B2-2,0.271229
A_2,B2-2_9,A,B2-2,0.192857
A_2,B2-2_10,A,B2-2,0.174762
A_2,C_1,A,C,0.216086
A_2,C_2,A,C,0.108414
A_2,C_3,A,C,0.189736
A_2,C_4,A,C,0.211724
A_2,C_5,A,C,0.204805
A_2,C_6,A,C,0.160844
A_2,C_7,A,C,0.206807
A_2,C_8,A,C,0.123711
A_2,C_9,A,C,0.079926
A_2,C_10,A,C,0.144695
A_2,D1_1,A,D1,0.233271
A_2,D1_2,A,D1,0.241782
A_2,D1_3,A,D1,0.216142
A_2,D1_4,A,D1,0.315815
A_2,D1_5,A,D1,0.254800
A_2,D1_6,A,D1,0.104467
A_2,D1_7,A,D1,0.152395
A_2,D1_8,A,D1,0.243143
A_2,D1_9,A,D1,0.248987
A_2,D1_10,A,D1,0.110504
A_2,D2_1,A,D2,0.326511
A_2,D2_2,A,D2,0.314327
A_2,D2_3,A,D2,0.306826
A_2,D2_4,A,D2,0.381688
A_2,D2_5,A,D2,0.355222
A_2,D2_6,A,D2,0.225090
A_2,D2_7,A,D2,0.248565
A_2,D2_8,A,D2,0.418204
A_2,D2_9,A,D2,0.346080
A_2,D2_10,A,D2,0.353968
A_2,D3_1,A,D3,0.346411
A_2,D3_2,A,D3,0.302520
A_2,D3_3,A,D3,0.279622
A_2,D3_4,A,D3,0.256052
A_2,D3_5,A,D3,0.236317
A_2,D3_6,A,D3,0.243770
A_2,D3_7,A,D3,0.309194
A_2,D3_8,A,D3,0.258948
A_2,D3_9,A,D3,0.302192
A_2,D3_10,A,D3,0.338304
A_2,D4_1,A,D4,0.339411
A_2,D4_2,A,D4,0.399691
A_2,D4_3,A,D4,0.246024
A_2,D4_4,A,D4,0.393222
A_2,D4_5,A,D4,0.338666
A_2,D4_6,A,D4,0.288357
A_2,D4_7,A,D4,0.308245
A_2,D4_8,A,D4,0.489365
A_2,D4_9,A,D4,0.371885
A_2,D4_10,A,D4,0.245047
A_2,E1_1,A,E1,0.219650
A_2,E1_2,A,E1,0.095850
A_2,E1_3,A,E1,0.077351
A_2,E1_4,A,E1,0.225034
A_2,E1_5,A,E1,0.129026
A_2,E1_6,A,E1,0.130764
A_2,E1_7,A,E1,0.108759
A_2,E1_8,A,E1,0.134460
A_2,E1_9,A,E1,0.203954
A_2,E1_10,A,E1,0.222642
A_2,E2_1,A,E2,0.218397
A_2,E2_2,A,E2,0.195198
A_2,E2_3,A,E2,0.264312
A_2,E2_4,A,E2,0.249958
A_2,E2_5,A,E2,0.202529
A_2,E2_6,A,E2,0.288808
A_2,E2_7,A,E2,0.202352
A_2,E2_8,A,E2,0.107872
A_2,E2_9,A,E2,0.239024
A_2,E2_10,A,E2,0.344932
A_2,F1_1,A,F1,0.156400
A_2,F1_2,A,F1,0.150980
A_2,F1_3,A,F1,0.172481
A_2,F1_4,A,F1,0.180130
A_2,F1_5,A,F1,0.213264
A_2,F1_6,A,F1,0.177907
A_2,F1_7,A,F1,0.128584
A_2,F1_8,A,F1,0.177473
A_2,F1_9,A,F1,0.073393
A_2,F1_10,A,F1,0.204502
A_2,F2_1,A,F2,0.107423
A_2,F2_2,A,F2,0.091026
A_2,F2_3,A,F2,0.209527
A_2,F2_4,A,F2,0.159603
A_2,F2_5,A,F2,0.192308
A_2,F2_6,A,F2,0.109796
A_2,F2_7,A,F2,0.181452
A_2,F2_8,A,F2,0.133094
A_2,F2_9,A,F2,0.170697
A_2,F2_10,A,F2,0.092749
A_2,G_1,A,G,0.022510
A_2,G_2,A,G,0.021163
A_2,G_3,A,G,0.021739
A_2,G_4,A,G,0.019278
A_2,G_5,A,G,0.017199
A_2,G_6,A,G,0.019832
A_2,G_7,A,G,0.024181
A_2,G_8,A,G,0.018908
A_2,G_9,A,G,0.019664
A_2,G_10,A,G,0.020038
A_3,A_4,A,A,0.028664
A_3,A_5,A,A,0.031475
A_3,A_6,A,A,0.022290
A_3,A_7,A,A,0.030539
A_3,A_8,A,A,0.027171
A_3,A_9,A,A,0.031280
A_3,A_10,A,A,0.030912
A_3,B1_1,A,B1,0.214863
A_3,B1_2,A,B1,0.187500
A_3,B1_3,A,B1,0.184946
A_3,B1_4,A,B1,0.228342
A_3,B1_5,A,B1,0.170078
A_3,B1_6,A,B1,0.198612
A_3,B1_7,A,B1,0.201906
A_3,B1_8,A,B1,0.197846
A_3,B1_9,A,B1,0.078119
A_3,B1_10,A,B1,0.214568
A_3,B2-1_1,A,B2-1,0.258092
A_3,B2-1_2,A,B2-1,0.132170
A_3,B2-1_3,A,B2-1,0.281240
A_3,B2-1_4,A,B2-1,0.183502
A_3,B2-1_5,A,B2-1,0.209455
A_3,B2-1_6,A,B2-1,0.244546
A_3,B2-1_7,A,B2-1,0.273497
A_3,B2-1_8,A,B2-1,0.374745
A_3,B2-1_9,A,B2-1,0.226473
A_3,B2-1_10,A,B2-1,0.082779
A_3,B2-2_1,A,B2-2,0.188547
A_3,B2-2_2,A,B2-2,0.344536
A_3,B2-2_3,A,B2-2,0.188328
A_3,B2-2_4,A,B2-2,0.247595
A_3,B2-2_5,A,B2-2,0.236713
A_3,B2-2_6,A,B2-2,0.196283
A_3,B2-2_7,A,B2-2,0.188057
A_3,B2-2_8,A,B2-2,0.277851
A_3,B2-2_9,A,B2-2,0.201698
A_3,B2-2_10,A,B2-2,0.184109
A_3,C_1,A,C,0.224364
A_3,C_2,A,C,0.116782
A_3,C_3,A,C,0.198924
A_3,C_4,A,C,0.219763
A_3,C_5,A,C,0.213205
A_3,C_6,A,C,0.170340
A_3,C_7,A,C,0.215194
A_3,C_8,A,C,0.132602
A_3,C_9,A,C,0.088901
A_3,C_10,A,C,0.152383
A_3,D1_1,A,D1,0.241403
A_3,D1_2,A,D1,0.249536
A_3,D1_3,A,D1,0.225056
A_3,D1_4,A,D1,0.322893
A_3,D1_5,A,D1,0.260111
A_3,D1_6,A,D1,0.114555
A_3,D1_7,A,D1,0.160673
A_3,D1_8,A,D1,0.251474
A_3,D1_9,A,D1,0.256677
A_3,D1_10,A,D1,0.119862
A_3,D2_1,A,D2,0.333226
A_3,D2_2,A,D2,0.320608
A_3,D2_3,A,D2,0.312622
A_3,D2_4,A,D2,0.386696
A_3,D2_5,A,D2,0.361172
A_3,D2_6,A,D2,0.232091
A_3,D2_7,A,D2,0.255966
A_3,D2_8,A,D2,0.424408
A_3,D2_9,A,D2,0.352110
A_3,D2_10,A,D2,0.360202
A_3,D3_1,A,D3,0.353753
A_3,D3_2,A,D3,0.309997
A_3,D3_3,A,D3,0.287036
A_3,D3_4,A,D3,0.263387
A_3,D3_5,A,D3,0.244444
A_3,D3_6,A,D3,0.251813
A_3,D3_7,A,D3,0.316599
A_3,D3_8,A,D3,0.267424
A_3,D3_9,A,D3,0.309946
A_3,D3_10,A,D3,0.344932
A_3,D4_1,A,D4,0.346809
A_3,D4_2,A,D4,0.405572
A_3,D4_3,A,D4,0.254334
A_3,D4_4,A,D4,0.398397
A_3,D4_5,A,D4,0.344751
A_3,D4_6,A,D4,0.295133
A_3,D4_7,A,D4,0.316225
A_3,D4_8,A,D4,0.493902
A_3,D4_9,A,D4,0.376445
A_3,D4_10,A,D4,0.253075
A_3,E1_1,A,E1,0.226396
A_3,E1_2,A,E1,0.105369
A_3,E1_3,A,E1,0.086363
A_3,E1_4,A,E1,0.232641
A_3,E1_5,A,E1,0.137845
A_3,E1_6,A,E1,0.139914
A_3,E1_7,A,E1,0.119514
A_3,E1_8,A,E1,0.144236
A_3,E1_9,A,E1,0.212696
A_3,E1_10,A,E1,0.228772
A_3,E2_1,A,E2,0.226351
A_3,E2_2,A,E2,0.203393
A_3,E2_3,A,E2,0.272727
A_3,E2_4,A,E2,0.258531
A_3,E2_5,A,E2,0.209419
A_3,E2_6,A,E2,0.294185
A_3,E2_7,A,E2,0.209847
A_3,E2_8,A,E2,0.117935
A_3,E2_9,A,E2,0.247386
A_3,E2_10,A,E2,0.352287
A_3,F1_1,A,F1,0.166578
A_3,F1_2,A,F1,0.160581
A_3,F1_3,A,F1,0.180894
A_3,F1_4,A,F1,0.186878
A_3,F1_5,A,F1,0.220374
A_3,F1_6,A,F1,0.187849
A_3,F1_7,A,F1,0.137758
A_3,F1_8,A,F1,0.186473
A_3,F1_9,A,F1,0.083503
A_3,F1_10,A,F1,0.212304
A_3,F2_1,A,F2,0.117156
A_3,F2_2,A,F2,0.100933
A_3,F2_3,A,F2,0.217585
A_3,F2_4,A,F2,0.168460
A_3,F2_5,A,F2,0.199896
A_3,F2_6,A,F2,0.119500
A_3,F2_7,A,F2,0.191356
A_3,F2_8,A,F2,0.141886
A_3,F2_9,A,F2,0.178176
A_3,F2_10,A,F2,0.103694
A_3,G_1,A,G,0.033561
A_3,G_2,A,G,0.031842
A_3,G_3,A,G,0.032790
A_3,G_4,A,G,0.030355
A_3,G_5,A,G,0.028300
A_3,G_6,A,G,0.030521
A_3,G_7,A,G,0.034829
A_3,G_8,A,G,0.029992
A_3,G_9,A,G,0.030366
A_3,G_10,A,G,0.031481
A_4,A_5,A,A,0.026426
A_4,A_6,A,A,0.017192
A_4,A_7,A,A,0.025485
A_4,A_8,A,A,0.022476
A_4,A_9,A,A,0.026231
A_4,A_10,A,A,0.026986
A_4,B1_1,A,B1,0.211034
A_4,B1_2,A,B1,0.182280
A_4,B1_3,A,B1,0.180991
A_4,B1_4,A,B1,0.224880
A_4,B1_5,A,B1,0.166048
A_4,B1_6,A,B1,0.195029
A_4,B1_7,A,B1,0.198958
A_4,B1_8,A,B1,0.194570
A_4,B1_9,A,B1,0.074026
A_4,B1_10,A,B1,0.210127
A_4,B2-1_1,A,B2-1,0.252104
A_4,B2-1_2,A,B2-1,0.127637
A_4,B2-1_3,A,B2-1,0.277409
A_4,B2-1_4,A,B2-1,0.180497
A_4,B2-1_5,A,B2-1,0.206223
A_4,B2-1_6,A,B2-1,0.240251
A_4,B2-1_7,A,B2-1,0.268199
A_4,B2-1_8,A,B2-1,0.371074
A_4,B2-1_9,A,B2-1,0.223306
A_4,B2-1_10,A,B2-1,0.078704
A_4,B2-2_1,A,B2-2,0.184920
A_4,B2-2_2,A,B2-2,0.343112
A_4,B2-2_3,A,B2-2,0.183755
A_4,B2-2_4,A,B2-2,0.244208
A_4,B2-2_5,A,B2-2,0.234184
A_4,B2-2_6,A,B2-2,0.192060
A_4,B2-2_7,A,B2-2,0.184745
A_4,B2-2_8,A,B2-2,0.275158
A_4,B2-2_9,A,B2-2,0.197812
A_4,B2-2_10,A,B2-2,0.180463
A_4,C_1,A,C,0.219675
A_4,C_2,A,C,0.113537
A_4,C_3,A,C,0.195652
A_4,C_4,A,C,0.216569
A_4,C_5,A,C,0.209683
A_4,C_6,A,C,0.164691
A_4,C_7,A,C,0.209519
A_4,C_8,A,C,0.127729
A_4,C_9,A,C,0.085561
A_4,C_10,A,C,0.149599
A_4,D1_1,A,D1,0.237990
A_4,D1_2,A,D1,0.246453
A_4,D1_3,A,D1,0.220964
A_4,D1_4,A,D1,0.320071
A_4,D1_5,A,D1,0.256768
A_4,D1_6,A,D1,0.109940
A_4,D1_7,A,D1,0.157259
A_4,D1_8,A,D1,0.246918
A_4,D1_9,A,D1,0.252442
A_4,D1_10,A,D1,0.116292
A_4,D2_1,A,D2,0.329635
A_4,D2_2,A,D2,0.317504
A_4,D2_3,A,D2,0.310311
A_4,D2_4,A,D2,0.385597
A_4,D2_5,A,D2,0.358744
A_4,D2_6,A,D2,0.229550
A_4,D2_7,A,D2,0.253199
A_4,D2_8,A,D2,0.420724
A_4,D2_9,A,D2,0.349126
A_4,D2_10,A,D2,0.358025
A_4,D3_1,A,D3,0.348145
A_4,D3_2,A,D3,0.306852
A_4,D3_3,A,D3,0.282663
A_4,D3_4,A,D3,0.260352
A_4,D3_5,A,D3,0.241631
A_4,D3_6,A,D3,0.249029
A_4,D3_7,A,D3,0.314304
A_4,D3_8,A,D3,0.263819
A_4,D3_9,A,D3,0.307078
A_4,D3_10,A,D3,0.341916
A_4,D4_1,A,D4,0.342483
A_4,D4_2,A,D4,0.403268
A_4,D4_3,A,D4,0.249494
A_4,D4_4,A,D4,0.393846
A_4,D4_5,A,D4,0.342534
A_4,D4_6,A,D4,0.291646
A_4,D4_7,A,D4,0.311451
A_4,D4_8,A,D4,0.491858
A_4,D4_9,A,D4,0.373298
A_4,D4_10,A,D4,0.249705
A_4,E1_1,A,E1,0.222926
A_4,E1_2,A,E1,0.101391
A_4,E1_3,A,E1,0.082655
A_4,E1_4,A,E1,0.230101
A_4,E1_5,A,E1,0.132675
A_4,E1_6,A,E1,0.135751
A_4,E1_7,A,E1,0.114909
A_4,E1_8,A,E1,0.138426
A_4,E1_9,A,E1,0.209162
A_4,E1_10,A,E1,0.227125
A_4,E2_1,A,E2,0.221975
A_4,E2_2,A,E2,0.199514
A_4,E2_3,A,E2,0.268858
A_4,E2_4,A,E2,0.254297
A_4,E2_5,A,E2,0.208046
A_4,E2_6,A,E2,0.290972
A_4,E2_7,A,E2,0.205385
A_4,E2_8,A,E2,0.112645
A_4,E2_9,A,E2,0.243111
A_4,E2_10,A,E2,0.348248
A_4,F1_1,A,F1,0.160588
A_4,F1_2,A,F1,0.155528
A_4,F1_3,A,F1,0.176595
A_4,F1_4,A,F1,0.183884
A_4,F1_5,A,F1,0.215956
A_4,F1_6,A,F1,0.184220
A_4,F1_7,A,F1,0.133921
A_4,F1_8,A,F1,0.181882
A_4,F1_9,A,F1,0.079074
A_4,F1_10,A,F1,0.209391
A_4,F2_1,A,F2,0.112202
A_4,F2_2,A,F2,0.096940
A_4,F2_3,A,F2,0.214077
A_4,F2_4,A,F2,0.163453
A_4,F2_5,A,F2,0.196946
A_4,F2_6,A,F2,0.115245
A_4,F2_7,A,F2,0.186473
A_4,F2_8,A,F2,0.139068
A_4,F2_9,A,F2,0.175145
A_4,F2_10,A,F2,0.099010
A_4,G_1,A,G,0.028517
A_4,G_2,A,G,0.027171
A_4,G_3,A,G,0.027746
A_4,G_4,A,G,0.025300
A_4,G_5,A,G,0.023234
A_4,G_6,A,G,0.025846
A_4,G_7,A,G,0.030171
A_4,G_8,A,G,0.024933
A_4,G_9,A,G,0.025309
A_4,G_10,A,G,0.026431
A_5,A_6,A,A,0.020034
A_5,A_7,A,A,0.028305
A_5,A_8,A,A,0.025304
A_5,A_9,A,A,0.029049
A_5,A_10,A,A,0.029803
A_5,B1_1,A,B1,0.212784
A_5,B1_2,A,B1,0.184395
A_5,B1_3,A,B1,0.182470
A_5,B1_4,A,B1,0.226605
A_5,B1_5,A,B1,0.168198
A_5,B1_6,A,B1,0.196804
A_5,B1_7,A,B1,0.200416
A_5,B1_8,A,B1,0.197288
A_5,B1_9,A,B1,0.076367
A_5,B1_10,A,B1,0.213414
A_5,B2-1_1,A,B2-1,0.254371
A_5,B2-1_2,A,B2-1,0.130200
A_5,B2-1_3,A,B2-1,0.278193
A_5,B2-1_4,A,B2-1,0.181977
A_5,B2-1_5,A,B2-1,0.208909
A_5,B2-1_6,A,B2-1,0.242547
A_5,B2-1_7,A,B2-1,0.269852
A_5,B2-1_8,A,B2-1,0.374608
A_5,B2-1_9,A,B2-1,0.226853
A_5,B2-1_10,A,B2-1,0.081746
A_5,B2-2_1,A,B2-2,0.187664
A_5,B2-2_2,A,B2-2,0.345437
A_5,B2-2_3,A,B2-2,0.185864
A_5,B2-2_4,A,B2-2,0.245605
A_5,B2-2_5,A,B2-2,0.235594
A_5,B2-2_6,A,B2-2,0.195724
A_5,B2-2_7,A,B2-2,0.188122
A_5,B2-2_8,A,B2-2,0.276801
A_5,B2-2_9,A,B2-2,0.200520
A_5,B2-2_10,A,B2-2,0.180989
A_5,C_1,A,C,0.221709
A_5,C_2,A,C,0.114426
A_5,C_3,A,C,0.196174
A_5,C_4,A,C,0.217698
A_5,C_5,A,C,0.211433
A_5,C_6,A,C,0.167815
A_5,C_7,A,C,0.212810
A_5,C_8,A,C,0.130294
A_5,C_9,A,C,0.087525
A_5,C_10,A,C,0.151450
A_5,D1_1,A,D1,0.239097
A_5,D1_2,A,D1,0.247847
A_5,D1_3,A,D1,0.220868
A_5,D1_4,A,D1,0.320828
A_5,D1_5,A,D1,0.258737
A_5,D1_6,A,D1,0.110828
A_5,D1_7,A,D1,0.159752
A_5,D1_8,A,D1,0.249789
A_5,D1_9,A,D1,0.256471
A_5,D1_10,A,D1,0.119224
A_5,D2_1,A,D2,0.330117
A_5,D2_2,A,D2,0.319624
A_5,D2_3,A,D2,0.310525
A_5,D2_4,A,D2,0.387568
A_5,D2_5,A,D2,0.361028
A_5,D2_6,A,D2,0.232170
A_5,D2_7,A,D2,0.256052
A_5,D2_8,A,D2,0.421181
A_5,D2_9,A,D2,0.350389
A_5,D2_10,A,D2,0.359019
A_5,D3_1,A,D3,0.350724
A_5,D3_2,A,D3,0.308720
A_5,D3_3,A,D3,0.284296
A_5,D3_4,A,D3,0.263766
A_5,D3_5,A,D3,0.243931
A_5,D3_6,A,D3,0.250127
A_5,D3_7,A,D3,0.315064
A_5,D3_8,A,D3,0.266064
A_5,D3_9,A,D3,0.307843
A_5,D3_10,A,D3,0.342926
A_5,D4_1,A,D4,0.344283
A_5,D4_2,A,D4,0.403977
A_5,D4_3,A,D4,0.253243
A_5,D4_4,A,D4,0.395798
A_5,D4_5,A,D4,0.343541
A_5,D4_6,A,D4,0.293265
A_5,D4_7,A,D4,0.314411
A_5,D4_8,A,D4,0.493827
A_5,D4_9,A,D4,0.374276
A_5,D4_10,A,D4,0.251097
A_5,E1_1,A,E1,0.224957
A_5,E1_2,A,E1,0.103328
A_5,E1_3,A,E1,0.085688
A_5,E1_4,A,E1,0.231817
A_5,E1_5,A,E1,0.135222
A_5,E1_6,A,E1,0.136625
A_5,E1_7,A,E1,0.118192
A_5,E1_8,A,E1,0.141297
A_5,E1_9,A,E1,0.211844
A_5,E1_10,A,E1,0.227941
A_5,E2_1,A,E2,0.223095
A_5,E2_2,A,E2,0.201283
A_5,E2_3,A,E2,0.272530
A_5,E2_4,A,E2,0.257446
A_5,E2_5,A,E2,0.207945
A_5,E2_6,A,E2,0.291467
A_5,E2_7,A,E2,0.207140
A_5,E2_8,A,E2,0.115587
A_5,E2_9,A,E2,0.244805
A_5,E2_10,A,E2,0.349252
A_5,F1_1,A,F1,0.162420
A_5,F1_2,A,F1,0.159006
A_5,F1_3,A,F1,0.178402
A_5,F1_4,A,F1,0.186944
A_5,F1_5,A,F1,0.218310
A_5,F1_6,A,F1,0.186331
A_5,F1_7,A,F1,0.136804
A_5,F1_8,A,F1,0.183999
A_5,F1_9,A,F1,0.081406
A_5,F1_10,A,F1,0.210526
A_5,F2_1,A,F2,0.113777
A_5,F2_2,A,F2,0.099927
A_5,F2_3,A,F2,0.217354
A_5,F2_4,A,F2,0.165282
A_5,F2_5,A,F2,0.199653
A_5,F2_6,A,F2,0.117156
A_5,F2_7,A,F2,0.189529
A_5,F2_8,A,F2,0.139606
A_5,F2_9,A,F2,0.176636
A_5,F2_10,A,F2,0.101301
A_5,G_1,A,G,0.031333
A_5,G_2,A,G,0.029987
A_5,G_3,A,G,0.030562
A_5,G_4,A,G,0.028121
A_5,G_5,A,G,0.026060
A_5,G_6,A,G,0.028289
A_5,G_7,A,G,0.032980
A_5,G_8,A,G,0.027382
A_5,G_9,A,G,0.028132
A_5,G_10,A,G,0.028875
A_6,A_7,A,A,0.019088
A_6,A_8,A,A,0.016058
A_6,A_9,A,A,0.019840
A_6,A_10,A,A,0.020221
A_6,B1_1,A,B1,0.206467
A_6,B1_2,A,B1,0.178195
A_6,B1_3,A,B1,0.176264
A_6,B1_4,A,B1,0.219173
A_6,B1_5,A,B1,0.160575
A_6,B1_6,A,B1,0.189745
A_6,B1_7,A,B1,0.193380
A_6,B1_8,A,B1,0.188963
A_6,B1_9,A,B1,0.068317
A_6,B1_10,A,B1,0.204632
A_6,B2-1_1,A,B2-1,0.248946
A_6,B2-1_2,A,B2-1,0.120905
A_6,B2-1_3,A,B2-1,0.273484
A_6,B2-1_4,A,B2-1,0.174165
A_6,B2-1_5,A,B2-1,0.201318
A_6,B2-1_6,A,B2-1,0.237043
A_6,B2-1_7,A,B2-1,0.264819
A_6,B2-1_8,A,B2-1,0.366829
A_6,B2-1_9,A,B2-1,0.218809
A_6,B2-1_10,A,B2-1,0.073379
A_6,B2-2_1,A,B2-2,0.179888
A_6,B2-2_2,A,B2-2,0.338452
A_6,B2-2_3,A,B2-2,0.178089
A_6,B2-2_4,A,B2-2,0.239525
A_6,B2-2_5,A,B2-2,0.228235
A_6,B2-2_6,A,B2-2,0.187391
A_6,B2-2_7,A,B2-2,0.180989
A_6,B2-2_8,A,B2-2,0.270653
A_6,B2-2_9,A,B2-2,0.193487
A_6,B2-2_10,A,B2-2,0.175405
A_6,C_1,A,C,0.215780
A_6,C_2,A,C,0.108414
A_6,C_3,A,C,0.190052
A_6,C_4,A,C,0.212032
