collection	genome_A	genome_B	ani	junctions	shared_tags	raw_inverted_fraction
mycobacterium_tuberculosis	CP200024.1	OZ347315.1	99.9	0.0	7335.0	0.0
mycobacterium_tuberculosis	CP200024.1	OZ347323.1	99.93	0.0	7377.0	0.0
mycobacterium_tuberculosis	CP200024.1	OZ347318.1	99.94	0.0	7319.0	1.0
mycobacterium_tuberculosis	CP200024.1	OZ347319.1	99.92	0.0	7373.0	0.0
mycobacterium_tuberculosis	CP200024.1	OZ347327.1	99.92	0.0	7382.0	0.0
mycobacterium_tuberculosis	CP200024.1	OZ407527.1	99.95	0.0	7417.0	0.00013
mycobacterium_tuberculosis	CP200024.1	OZ416141.1	99.97	0.0	7413.0	0.0
mycobacterium_tuberculosis	CP200024.1	OZ416142.1	99.92	2.0	7383.0	0.47948
mycobacterium_tuberculosis	CP200026.1	CP200027.1	99.94	0.0	7398.0	0.0
mycobacterium_tuberculosis	CP200026.1	AP046124.1	99.87	0.0	7244.0	0.0
mycobacterium_tuberculosis	CP200026.1	OZ347302.1	99.92	0.0	7393.0	0.0
mycobacterium_tuberculosis	CP200026.1	OZ347310.1	99.94	0.0	7400.0	0.0
mycobacterium_tuberculosis	CP200026.1	OZ347307.1	99.94	0.0	7399.0	0.0
mycobacterium_tuberculosis	CP200026.1	OZ347304.1	99.9	0.0	7350.0	0.0
mycobacterium_tuberculosis	CP200026.1	OZ347311.1	99.92	0.0	7391.0	0.0
mycobacterium_tuberculosis	CP200026.1	OZ347315.1	99.9	0.0	7335.0	0.0
mycobacterium_tuberculosis	CP200026.1	OZ347323.1	99.95	0.0	7403.0	0.0
mycobacterium_tuberculosis	CP200026.1	OZ347318.1	99.97	0.0	7347.0	1.0
mycobacterium_tuberculosis	CP200026.1	OZ347319.1	99.93	0.0	7394.0	0.0
mycobacterium_tuberculosis	CP200026.1	OZ347327.1	99.92	0.0	7372.0	0.0
mycobacterium_tuberculosis	CP200026.1	OZ407527.1	99.93	0.0	7364.0	0.0
mycobacterium_tuberculosis	CP200026.1	OZ416141.1	99.98	0.0	7463.0	0.0
mycobacterium_tuberculosis	CP200026.1	OZ416142.1	99.92	2.0	7338.0	0.47942
mycobacterium_tuberculosis	CP200027.1	AP046124.1	99.86	0.0	7257.0	0.0
mycobacterium_tuberculosis	CP200027.1	OZ347302.1	99.92	0.0	7372.0	0.0
mycobacterium_tuberculosis	CP200027.1	OZ347310.1	99.92	0.0	7379.0	0.0
mycobacterium_tuberculosis	CP200027.1	OZ347307.1	99.92	0.0	7379.0	0.0
mycobacterium_tuberculosis	CP200027.1	OZ347304.1	99.92	0.0	7412.0	0.0
mycobacterium_tuberculosis	CP200027.1	OZ347311.1	99.91	0.0	7370.0	0.0
mycobacterium_tuberculosis	CP200027.1	OZ347315.1	99.92	0.0	7396.0	0.0
mycobacterium_tuberculosis	CP200027.1	OZ347323.1	99.92	0.0	7358.0	0.0
mycobacterium_tuberculosis	CP200027.1	OZ347318.1	99.92	0.0	7301.0	1.0
mycobacterium_tuberculosis	CP200027.1	OZ347319.1	99.91	0.0	7354.0	0.0
mycobacterium_tuberculosis	CP200027.1	OZ347327.1	99.91	0.0	7351.0	0.0
mycobacterium_tuberculosis	CP200027.1	OZ407527.1	99.91	0.0	7345.0	0.0
mycobacterium_tuberculosis	CP200027.1	OZ416141.1	99.95	0.0	7396.0	0.0
mycobacterium_tuberculosis	CP200027.1	OZ416142.1	99.88	2.0	7318.0	0.4806
mycobacterium_tuberculosis	AP046124.1	OZ347302.1	99.87	0.0	7256.0	0.0
mycobacterium_tuberculosis	AP046124.1	OZ347310.1	99.87	0.0	7256.0	0.0
mycobacterium_tuberculosis	AP046124.1	OZ347307.1	99.88	0.0	7257.0	0.0
mycobacterium_tuberculosis	AP046124.1	OZ347304.1	99.92	0.0	7292.0	0.0
mycobacterium_tuberculosis	AP046124.1	OZ347311.1	99.87	0.0	7254.0	0.0
mycobacterium_tuberculosis	AP046124.1	OZ347315.1	99.92	0.0	7277.0	0.0
mycobacterium_tuberculosis	AP046124.1	OZ347323.1	99.86	0.0	7244.0	0.0
mycobacterium_tuberculosis	AP046124.1	OZ347318.1	99.88	0.0	7193.0	1.0
mycobacterium_tuberculosis	AP046124.1	OZ347319.1	99.88	0.0	7249.0	0.0
mycobacterium_tuberculosis	AP046124.1	OZ347327.1	99.88	0.0	7232.0	0.0
mycobacterium_tuberculosis	AP046124.1	OZ407527.1	99.83	0.0	7194.0	0.0
mycobacterium_tuberculosis	AP046124.1	OZ416141.1	99.87	0.0	7244.0	0.0
mycobacterium_tuberculosis	AP046124.1	OZ416142.1	99.88	2.0	7209.0	0.47829
mycobacterium_tuberculosis	OZ347302.1	OZ347310.1	99.99	0.0	7505.0	0.0
mycobacterium_tuberculosis	OZ347302.1	OZ347307.1	99.98	0.0	7499.0	0.0
mycobacterium_tuberculosis	OZ347302.1	OZ347304.1	99.88	0.0	7363.0	0.0
mycobacterium_tuberculosis	OZ347302.1	OZ347311.1	100.0	0.0	7516.0	0.0
mycobacterium_tuberculosis	OZ347302.1	OZ347315.1	99.87	0.0	7349.0	0.0
mycobacterium_tuberculosis	OZ347302.1	OZ347323.1	99.92	0.0	7373.0	0.0
mycobacterium_tuberculosis	OZ347302.1	OZ347318.1	99.94	0.0	7322.0	1.0
mycobacterium_tuberculosis	OZ347302.1	OZ347319.1	99.93	0.0	7379.0	0.0
mycobacterium_tuberculosis	OZ347302.1	OZ347327.1	99.99	0.0	7479.0	0.0
mycobacterium_tuberculosis	OZ347302.1	OZ407527.1	99.89	0.0	7350.0	0.0
mycobacterium_tuberculosis	OZ347302.1	OZ416141.1	99.92	0.0	7390.0	0.0
mycobacterium_tuberculosis	OZ347302.1	OZ416142.1	99.92	2.0	7358.0	0.48016
mycobacterium_tuberculosis	OZ347310.1	OZ347307.1	99.98	0.0	7507.0	0.0
mycobacterium_tuberculosis	OZ347310.1	OZ347304.1	99.88	0.0	7371.0	0.0
mycobacterium_tuberculosis	OZ347310.1	OZ347311.1	99.99	0.0	7503.0	0.0
mycobacterium_tuberculosis	OZ347310.1	OZ347315.1	99.9	0.0	7357.0	0.0
mycobacterium_tuberculosis	OZ347310.1	OZ347323.1	99.94	0.0	7381.0	0.0
mycobacterium_tuberculosis	OZ347310.1	OZ347318.1	99.94	0.0	7330.0	1.0
mycobacterium_tuberculosis	OZ347310.1	OZ347319.1	99.94	0.0	7388.0	0.0
mycobacterium_tuberculosis	OZ347310.1	OZ347327.1	99.99	0.0	7485.0	0.0
mycobacterium_tuberculosis	OZ347310.1	OZ407527.1	99.92	0.0	7357.0	0.0
mycobacterium_tuberculosis	OZ347310.1	OZ416141.1	99.94	0.0	7398.0	0.0
mycobacterium_tuberculosis	OZ347310.1	OZ416142.1	99.94	2.0	7365.0	0.48052
mycobacterium_tuberculosis	OZ347307.1	OZ347304.1	99.88	0.0	7372.0	0.0
mycobacterium_tuberculosis	OZ347307.1	OZ347311.1	99.98	0.0	7497.0	0.0
mycobacterium_tuberculosis	OZ347307.1	OZ347315.1	99.9	0.0	7359.0	0.0
mycobacterium_tuberculosis	OZ347307.1	OZ347323.1	99.94	0.0	7382.0	0.0
mycobacterium_tuberculosis	OZ347307.1	OZ347318.1	99.94	0.0	7331.0	1.0
mycobacterium_tuberculosis	OZ347307.1	OZ347319.1	99.94	0.0	7388.0	0.0
mycobacterium_tuberculosis	OZ347307.1	OZ347327.1	99.97	0.0	7479.0	0.0
mycobacterium_tuberculosis	OZ347307.1	OZ407527.1	99.92	0.0	7357.0	0.0
mycobacterium_tuberculosis	OZ347307.1	OZ416141.1	99.94	0.0	7398.0	0.0
mycobacterium_tuberculosis	OZ347307.1	OZ416142.1	99.94	2.0	7367.0	0.47998
mycobacterium_tuberculosis	OZ347304.1	OZ347311.1	99.88	0.0	7361.0	0.0
mycobacterium_tuberculosis	OZ347304.1	OZ347315.1	99.97	0.0	7477.0	0.0
mycobacterium_tuberculosis	OZ347304.1	OZ347323.1	99.87	0.0	7343.0	0.0
mycobacterium_tuberculosis	OZ347304.1	OZ347318.1	99.87	0.0	7292.0	1.0
mycobacterium_tuberculosis	OZ347304.1	OZ347319.1	99.87	0.0	7361.0	0.0
mycobacterium_tuberculosis	OZ347304.1	OZ347327.1	99.88	0.0	7343.0	0.0
mycobacterium_tuberculosis	OZ347304.1	OZ407527.1	99.86	0.0	7301.0	0.0
mycobacterium_tuberculosis	OZ347304.1	OZ416141.1	99.9	0.0	7352.0	0.0
mycobacterium_tuberculosis	OZ347304.1	OZ416142.1	99.85	2.0	7316.0	0.4795
mycobacterium_tuberculosis	OZ347311.1	OZ347315.1	99.87	0.0	7347.0	0.0
mycobacterium_tuberculosis	OZ347311.1	OZ347323.1	99.92	0.0	7371.0	0.0
mycobacterium_tuberculosis	OZ347311.1	OZ347318.1	99.94	0.0	7320.0	1.0
mycobacterium_tuberculosis	OZ347311.1	OZ347319.1	99.93	0.0	7377.0	0.0
mycobacterium_tuberculosis	OZ347311.1	OZ347327.1	99.99	0.0	7477.0	0.0
mycobacterium_tuberculosis	OZ347311.1	OZ407527.1	99.89	0.0	7348.0	0.0
mycobacterium_tuberculosis	OZ347311.1	OZ416141.1	99.92	0.0	7388.0	0.0
mycobacterium_tuberculosis	OZ347311.1	OZ416142.1	99.92	2.0	7356.0	0.48002
mycobacterium_tuberculosis	OZ347315.1	OZ347323.1	99.88	0.0	7326.0	0.0
mycobacterium_tuberculosis	OZ347315.1	OZ347318.1	99.88	0.0	7276.0	1.0
mycobacterium_tuberculosis	OZ347315.1	OZ347319.1	99.87	0.0	7347.0	0.0
mycobacterium_tuberculosis	OZ347315.1	OZ347327.1	99.91	0.0	7329.0	0.0
mycobacterium_tuberculosis	OZ347315.1	OZ407527.1	99.86	0.0	7283.0	0.0
mycobacterium_tuberculosis	OZ347315.1	OZ416141.1	99.87	0.0	7336.0	0.0
mycobacterium_tuberculosis	OZ347315.1	OZ416142.1	99.86	2.0	7302.0	0.47932
mycobacterium_tuberculosis	OZ347323.1	OZ347318.1	99.97	0.0	7364.0	1.0
mycobacterium_tuberculosis	OZ347323.1	OZ347319.1	99.93	0.0	7385.0	0.0
mycobacterium_tuberculosis	OZ347323.1	OZ347327.1	99.92	0.0	7354.0	0.0
mycobacterium_tuberculosis	OZ347323.1	OZ407527.1	99.91	0.0	7324.0	0.0
mycobacterium_tuberculosis	OZ347323.1	OZ416141.1	99.95	0.0	7404.0	0.0
mycobacterium_tuberculosis	OZ347323.1	OZ416142.1	99.92	2.0	7336.0	0.48105
mycobacterium_tuberculosis	OZ347318.1	OZ347319.1	99.93	0.0	7332.0	1.0
mycobacterium_tuberculosis	OZ347318.1	OZ347327.1	99.94	0.0	7324.0	1.0
mycobacterium_tuberculosis	OZ347318.1	OZ407527.1	99.92	0.0	7267.0	1.0
mycobacterium_tuberculosis	OZ347318.1	OZ416141.1	99.97	0.0	7349.0	1.0
mycobacterium_tuberculosis	OZ347318.1	OZ416142.1	99.92	2.0	7309.0	0.51649
mycobacterium_tuberculosis	OZ347319.1	OZ347327.1	99.94	0.0	7359.0	0.0
mycobacterium_tuberculosis	OZ347319.1	OZ407527.1	99.9	0.0	7320.0	0.0
mycobacterium_tuberculosis	OZ347319.1	OZ416141.1	99.94	0.0	7394.0	0.0
mycobacterium_tuberculosis	OZ347319.1	OZ416142.1	99.92	2.0	7332.0	0.47831
mycobacterium_tuberculosis	OZ347327.1	OZ407527.1	99.89	0.0	7329.0	0.0
mycobacterium_tuberculosis	OZ347327.1	OZ416141.1	99.92	0.0	7370.0	0.0
mycobacterium_tuberculosis	OZ347327.1	OZ416142.1	99.93	2.0	7359.0	0.47968
mycobacterium_tuberculosis	OZ407527.1	OZ416141.1	99.93	0.0	7359.0	0.0
mycobacterium_tuberculosis	OZ407527.1	OZ416142.1	99.91	2.0	7333.0	0.47934
mycobacterium_tuberculosis	OZ416141.1	OZ416142.1	99.91	2.0	7335.0	0.47948
escherichia_coli	OZ541724.1	OZ541756.1	100.0	0.0	5859.0	0.0
escherichia_coli	OZ541724.1	OZ541771.1	98.46	8.0	4126.0	0.0017
escherichia_coli	OZ541724.1	OZ542013.1	98.48	1.0	3999.0	0.00075
escherichia_coli	OZ541724.1	OZ542105.1			0.0	
escherichia_coli	OZ541724.1	OZ542118.1			0.0	
escherichia_coli	OZ541724.1	OZ542138.1	99.27	3.0	4913.0	0.03521
escherichia_coli	OZ541724.1	OZ542227.1			0.0	
escherichia_coli	OZ541724.1	OZ542313.1	99.03	6.0	4725.0	0.00571
escherichia_coli	OZ541724.1	OZ542592.1	98.51	11.0	4161.0	0.0036
escherichia_coli	OZ541724.1	OZ542841.1			0.0	
escherichia_coli	OZ541724.1	OZ542891.1	96.88	6.0	2746.0	0.00182
escherichia_coli	OZ541724.1	OZ543113.1			0.0	
escherichia_coli	OZ541724.1	OZ544177.1			0.0	
escherichia_coli	OZ541724.1	OZ544196.1			0.0	
escherichia_coli	OZ541724.1	OZ544215.1	97.33	2.0	3159.0	0.00127
escherichia_coli	OZ541724.1	OZ544309.1	97.34	4.0	3157.0	0.00222
escherichia_coli	OZ541724.1	OZ544409.1	97.72	12.0	3415.0	0.06032
escherichia_coli	OZ541724.1	OZ544462.1	98.37	6.0	4020.0	0.00025
escherichia_coli	OZ541724.1	OZ547193.1	99.08	10.0	4723.0	0.02181
escherichia_coli	OZ541756.1	OZ541771.1	98.46	8.0	4126.0	0.0017
escherichia_coli	OZ541756.1	OZ542013.1	98.48	1.0	3999.0	0.00075
escherichia_coli	OZ541756.1	OZ542105.1			0.0	
escherichia_coli	OZ541756.1	OZ542118.1			0.0	
escherichia_coli	OZ541756.1	OZ542138.1	99.27	3.0	4913.0	0.03521
escherichia_coli	OZ541756.1	OZ542227.1			0.0	
escherichia_coli	OZ541756.1	OZ542313.1	99.13	6.0	4725.0	0.00571
escherichia_coli	OZ541756.1	OZ542592.1	98.51	11.0	4161.0	0.0036
escherichia_coli	OZ541756.1	OZ542841.1			0.0	
escherichia_coli	OZ541756.1	OZ542891.1	96.91	6.0	2746.0	0.00182
escherichia_coli	OZ541756.1	OZ543113.1			0.0	
escherichia_coli	OZ541756.1	OZ544177.1			0.0	
escherichia_coli	OZ541756.1	OZ544196.1			0.0	
escherichia_coli	OZ541756.1	OZ544215.1	97.33	2.0	3159.0	0.00127
escherichia_coli	OZ541756.1	OZ544309.1	97.33	4.0	3157.0	0.00222
escherichia_coli	OZ541756.1	OZ544409.1	97.72	12.0	3415.0	0.06032
escherichia_coli	OZ541756.1	OZ544462.1	98.37	6.0	4020.0	0.00025
escherichia_coli	OZ541756.1	OZ547193.1	99.08	10.0	4723.0	0.02181
escherichia_coli	OZ541771.1	OZ542013.1	99.08	0.0	4624.0	0.00022
escherichia_coli	OZ541771.1	OZ542105.1			0.0	
escherichia_coli	OZ541771.1	OZ542118.1			0.0	
escherichia_coli	OZ541771.1	OZ542138.1	98.5	15.0	4153.0	0.03756
escherichia_coli	OZ541771.1	OZ542227.1			0.0	
escherichia_coli	OZ541771.1	OZ542313.1	98.4	14.0	4142.0	0.00386
escherichia_coli	OZ541771.1	OZ542592.1	98.66	7.0	4526.0	0.00619
escherichia_coli	OZ541771.1	OZ542841.1			0.0	
escherichia_coli	OZ541771.1	OZ542891.1	96.94	8.0	2807.0	0.00107
escherichia_coli	OZ541771.1	OZ543113.1			0.0	
escherichia_coli	OZ541771.1	OZ544177.1			0.0	
escherichia_coli	OZ541771.1	OZ544196.1			0.0	
escherichia_coli	OZ541771.1	OZ544215.1	97.2	5.0	3168.0	0.00473
escherichia_coli	OZ541771.1	OZ544309.1	97.21	5.0	3166.0	0.00442
escherichia_coli	OZ541771.1	OZ544409.1	98.19	10.0	3561.0	0.0601
escherichia_coli	OZ541771.1	OZ544462.1	98.82	12.0	4438.0	0.00496
escherichia_coli	OZ541771.1	OZ547193.1	98.51	18.0	4093.0	0.01735
escherichia_coli	OZ542013.1	OZ542105.1			0.0	
escherichia_coli	OZ542013.1	OZ542118.1			0.0	
escherichia_coli	OZ542013.1	OZ542138.1	98.56	4.0	4016.0	0.0381
escherichia_coli	OZ542013.1	OZ542227.1			0.0	
escherichia_coli	OZ542013.1	OZ542313.1	98.4	8.0	4003.0	0.0065
escherichia_coli	OZ542013.1	OZ542592.1	98.8	8.0	4423.0	0.00543
escherichia_coli	OZ542013.1	OZ542841.1			0.0	
escherichia_coli	OZ542013.1	OZ542891.1	97.13	3.0	2739.0	0.00037
escherichia_coli	OZ542013.1	OZ543113.1			0.0	
escherichia_coli	OZ542013.1	OZ544177.1			0.0	
escherichia_coli	OZ542013.1	OZ544196.1			0.0	
escherichia_coli	OZ542013.1	OZ544215.1	97.53	0.0	3026.0	0.00033
escherichia_coli	OZ542013.1	OZ544309.1	97.53	0.0	3026.0	0.00033
escherichia_coli	OZ542013.1	OZ544409.1	97.99	15.0	3528.0	0.06179
escherichia_coli	OZ542013.1	OZ544462.1	98.86	4.0	4356.0	0.00092
escherichia_coli	OZ542013.1	OZ547193.1	98.41	16.0	3963.0	0.01766
escherichia_coli	OZ542105.1	OZ542118.1	100.0	0.0	4667.0	0.0
escherichia_coli	OZ542105.1	OZ542138.1			0.0	
escherichia_coli	OZ542105.1	OZ542227.1			0.0	
escherichia_coli	OZ542105.1	OZ542313.1			0.0	
escherichia_coli	OZ542105.1	OZ542592.1			0.0	
escherichia_coli	OZ542105.1	OZ542841.1			0.0	
escherichia_coli	OZ542105.1	OZ542891.1			0.0	
escherichia_coli	OZ542105.1	OZ543113.1	94.76	0.0	1540.0	0.00065
escherichia_coli	OZ542105.1	OZ544177.1	94.84	0.0	1579.0	0.00127
escherichia_coli	OZ542105.1	OZ544196.1	94.84	0.0	1580.0	0.00127
escherichia_coli	OZ542105.1	OZ544215.1			0.0	
escherichia_coli	OZ542105.1	OZ544309.1			0.0	
escherichia_coli	OZ542105.1	OZ544409.1			0.0	
escherichia_coli	OZ542105.1	OZ544462.1			0.0	
escherichia_coli	OZ542105.1	OZ547193.1			0.0	
escherichia_coli	OZ542118.1	OZ542138.1			0.0	
escherichia_coli	OZ542118.1	OZ542227.1			0.0	
escherichia_coli	OZ542118.1	OZ542313.1			0.0	
escherichia_coli	OZ542118.1	OZ542592.1			0.0	
escherichia_coli	OZ542118.1	OZ542841.1			0.0	
escherichia_coli	OZ542118.1	OZ542891.1			0.0	
escherichia_coli	OZ542118.1	OZ543113.1	94.76	0.0	1540.0	0.00065
escherichia_coli	OZ542118.1	OZ544177.1	94.84	0.0	1579.0	0.00127
escherichia_coli	OZ542118.1	OZ544196.1	94.84	0.0	1580.0	0.00127
escherichia_coli	OZ542118.1	OZ544215.1			0.0	
escherichia_coli	OZ542118.1	OZ544309.1			0.0	
escherichia_coli	OZ542118.1	OZ544409.1			0.0	
escherichia_coli	OZ542118.1	OZ544462.1			0.0	
escherichia_coli	OZ542118.1	OZ547193.1			0.0	
escherichia_coli	OZ542138.1	OZ542227.1			0.0	
escherichia_coli	OZ542138.1	OZ542313.1	98.92	14.0	4790.0	0.04071
escherichia_coli	OZ542138.1	OZ542592.1	98.46	19.0	4171.0	0.04268
escherichia_coli	OZ542138.1	OZ542841.1			0.0	
escherichia_coli	OZ542138.1	OZ542891.1	96.98	5.0	2785.0	0.04165
escherichia_coli	OZ542138.1	OZ543113.1			0.0	
escherichia_coli	OZ542138.1	OZ544177.1			0.0	
escherichia_coli	OZ542138.1	OZ544196.1			0.0	
escherichia_coli	OZ542138.1	OZ544215.1	97.26	10.0	3162.0	0.04396
escherichia_coli	OZ542138.1	OZ544309.1	97.26	9.0	3161.0	0.04397
escherichia_coli	OZ542138.1	OZ544409.1	98.16	21.0	3466.0	0.10387
escherichia_coli	OZ542138.1	OZ544462.1	98.26	15.0	4055.0	0.04365
escherichia_coli	OZ542138.1	OZ547193.1	98.98	18.0	4780.0	0.05983
escherichia_coli	OZ542227.1	OZ542313.1			0.0	
escherichia_coli	OZ542227.1	OZ542592.1			0.0	
escherichia_coli	OZ542227.1	OZ542841.1		2.0	19.0	0.78947
escherichia_coli	OZ542227.1	OZ542891.1			0.0	
escherichia_coli	OZ542227.1	OZ543113.1			0.0	
escherichia_coli	OZ542227.1	OZ544177.1		2.0	11.0	0.72727
escherichia_coli	OZ542227.1	OZ544196.1		0.0	4.0	0.25
escherichia_coli	OZ542227.1	OZ544215.1			0.0	
escherichia_coli	OZ542227.1	OZ544309.1			0.0	
escherichia_coli	OZ542227.1	OZ544409.1			0.0	
escherichia_coli	OZ542227.1	OZ544462.1			0.0	
escherichia_coli	OZ542227.1	OZ547193.1			0.0	
escherichia_coli	OZ542313.1	OZ542592.1	98.36	16.0	4152.0	0.00578
escherichia_coli	OZ542313.1	OZ542841.1			0.0	
escherichia_coli	OZ542313.1	OZ542891.1	96.93	6.0	2769.0	0.00975
escherichia_coli	OZ542313.1	OZ543113.1			0.0	
escherichia_coli	OZ542313.1	OZ544177.1			0.0	
escherichia_coli	OZ542313.1	OZ544196.1			0.0	
escherichia_coli	OZ542313.1	OZ544215.1	97.27	10.0	3229.0	0.00496
escherichia_coli	OZ542313.1	OZ544309.1	97.27	7.0	3179.0	0.00346
escherichia_coli	OZ542313.1	OZ544409.1	97.99	13.0	3445.0	0.06938
escherichia_coli	OZ542313.1	OZ544462.1	98.13	16.0	4104.0	0.0134
escherichia_coli	OZ542313.1	OZ547193.1	99.48	11.0	5381.0	0.04795
escherichia_coli	OZ542592.1	OZ542841.1			0.0	
escherichia_coli	OZ542592.1	OZ542891.1	97.12	5.0	2772.0	0.00144
escherichia_coli	OZ542592.1	OZ543113.1			0.0	
escherichia_coli	OZ542592.1	OZ544177.1			0.0	
escherichia_coli	OZ542592.1	OZ544196.1			0.0	
escherichia_coli	OZ542592.1	OZ544215.1	97.34	8.0	3097.0	0.00549
escherichia_coli	OZ542592.1	OZ544309.1	97.34	9.0	3096.0	0.00452
escherichia_coli	OZ542592.1	OZ544409.1	98.18	9.0	3492.0	0.06644
