accession	contig_count
GB_GCA_003551675.1	158
GB_GCA_003600755.1	30
GB_GCA_003601795.1	310
GB_GCA_003602395.1	137
GB_GCA_003602525.1	233
GB_GCA_003649615.1	170
GB_GCA_003649695.1	261
GB_GCA_003660925.1	77
GB_GCA_003660975.1	130
GB_GCA_003663295.1	76
GB_GCA_003672205.1	198
GB_GCA_003672325.1	320
GB_GCA_003672645.1	400
GB_GCA_003672765.1	670
GB_GCA_003672845.1	363
GB_GCA_003673035.1	196
GB_GCA_003694385.1	130
GB_GCA_003724175.1	269
GB_GCA_003724325.1	106
GB_GCA_003940405.1	124
GB_GCA_004028775.1	8
GB_GCA_005191415.1	409
GB_GCA_005222965.1	4
GB_GCA_005878635.1	345
GB_GCA_005878955.1	192
GB_GCA_005879065.1	216
GB_GCA_005881615.1	214
GB_GCA_005882885.1	243
GB_GCA_006954475.1	24
GB_GCA_007050255.1	296
GB_GCA_007117735.1	50
GB_GCA_007118075.1	224
GB_GCA_007122115.1	417
GB_GCA_009758305.1	94
GB_GCA_009778275.1	102
GB_GCA_009784145.1	185
GB_GCA_009887315.1	337
GB_GCA_009903725.1	138
GB_GCA_009992385.1	88
GB_GCA_011039365.1	167
GB_GCA_011048525.1	199
GB_GCA_011054495.1	151
GB_GCA_011056395.1	107
GB_GCA_011056405.1	76
GB_GCA_011056725.1	189
GB_GCA_011057405.1	15
GB_GCA_011087695.1	47
GB_GCA_011329125.1	125
GB_GCA_011331845.1	95
GB_GCA_011331885.1	216
GB_GCA_011363045.1	10
GB_GCA_011363915.1	245
GB_GCA_011364605.1	90
GB_GCA_011366965.1	542
GB_GCA_011371975.1	116
GB_GCA_011374045.1	114
GB_GCA_011380095.1	123
GB_GCA_011522915.1	162
GB_GCA_011605725.1	20
GB_GCA_011771385.1	118
GB_GCA_012516785.1	122
GB_GCA_012520015.1	461
GB_GCA_012842025.1	248
GB_GCA_012959275.1	89
GB_GCA_012959435.1	304
GB_GCA_012965105.1	113
GB_GCA_012966225.1	252
GB_GCA_013151465.1	101
GB_GCA_013152845.1	190
GB_GCA_013180605.1	193
GB_GCA_013329765.1	307
GB_GCA_013330975.1	207
GB_GCA_013331835.1	30
GB_GCA_013331935.1	37
GB_GCA_013374495.1	322
GB_GCA_013375475.1	309
GB_GCA_013390385.1	155
GB_GCA_013390395.1	21
GB_GCA_013390495.1	46
GB_GCA_013390745.1	18
GB_GCA_013390845.1	47
GB_GCA_013425425.1	131
GB_GCA_013538675.1	57
GB_GCA_013538715.1	34
GB_GCA_013911135.1	107
GB_GCA_014237495.1	126
GB_GCA_014523515.1	438
GB_GCA_014729345.1	139
GB_GCA_014729495.1	134
GB_GCA_015063085.1	39
GB_GCA_015063125.1	9
GB_GCA_015520245.1	240
GB_GCA_015520605.1	27
GB_GCA_015521005.1	62
GB_GCA_015521295.1	99
GB_GCA_015522195.1	149
GB_GCA_015522885.1	216
GB_GCA_015523095.1	181
GB_GCA_015659875.1	259
GB_GCA_015661455.1	238
GB_GCA_016109435.1	37
GB_GCA_016177345.1	115
GB_GCA_016180285.1	54
GB_GCA_016180755.1	180
GB_GCA_016181215.1	89
GB_GCA_016184145.1	38
GB_GCA_016185625.1	48
GB_GCA_016186375.1	116
GB_GCA_016186855.1	176
GB_GCA_016187405.1	16
GB_GCA_016192945.1	42
GB_GCA_016198125.1	20
GB_GCA_016203265.1	99
GB_GCA_016204145.1	34
GB_GCA_016212415.1	49
GB_GCA_016212785.1	161
GB_GCA_016213985.1	117
GB_GCA_016234065.1	45
GB_GCA_016282555.1	187
GB_GCA_016294135.1	81
GB_GCA_016294985.1	303
GB_GCA_016550395.1	469
GB_GCA_016777205.1	65
GB_GCA_016777245.1	86
GB_GCA_016782265.1	435
GB_GCA_016782355.1	105
GB_GCA_016784085.1	27
GB_GCA_016839245.1	136
GB_GCA_016839585.1	91
GB_GCA_016839605.1	259
GB_GCA_016839785.1	248
GB_GCA_016840035.1	293
GB_GCA_016840945.1	419
GB_GCA_016927425.1	94
GB_GCA_016935655.1	144
GB_GCA_017404125.1	288
GB_GCA_017553445.1	94
GB_GCA_017601305.1	225
GB_GCA_017608345.1	16
GB_GCA_017608835.1	90
GB_GCA_017608905.1	68
GB_GCA_017609345.1	68
GB_GCA_017609745.1	61
GB_GCA_017609995.1	90
GB_GCA_017610305.1	89
GB_GCA_017610545.1	185
GB_GCA_017622255.1	322
GB_GCA_018053465.1	154
GB_GCA_018221025.1	75
GB_GCA_018238345.1	288
GB_GCA_018238545.1	128
GB_GCA_018238585.1	277
GB_GCA_018238745.1	363
GB_GCA_018302105.1	47
GB_GCA_018302685.1	29
GB_GCA_018302765.1	28
GB_GCA_018302885.1	38
GB_GCA_018302985.1	24
GB_GCA_018303225.1	48
GB_GCA_018303285.1	56
GB_GCA_018303315.1	97
GB_GCA_018303855.1	17
GB_GCA_018303925.1	30
GB_GCA_018304085.1	36
GB_GCA_018304175.1	18
GB_GCA_018396435.1	107
GB_GCA_018396865.1	48
GB_GCA_018396935.1	258
GB_GCA_018432365.1	78
GB_GCA_018432765.1	236
GB_GCA_018645945.1	102
GB_GCA_018653745.1	168
GB_GCA_018655465.1	75
GB_GCA_018656295.1	50
GB_GCA_018664115.1	68
GB_GCA_018664225.1	104
GB_GCA_018666265.1	56
GB_GCA_018666535.1	133
GB_GCA_018667585.1	99
GB_GCA_018692055.1	162
GB_GCA_018696535.1	44
GB_GCA_018697295.1	9
GB_GCA_018697545.1	99
GB_GCA_018816625.1	243
GB_GCA_018824625.1	243
GB_GCA_018828805.1	58
GB_GCA_018830505.1	85
GB_GCA_018897475.1	151
GB_GCA_018992565.1	267
GB_GCA_019057975.1	672
GB_GCA_900313245.1	200
GB_GCA_902385515.1	97
GB_GCA_902386205.1	88
GB_GCA_902513375.1	56
GB_GCA_902635905.1	43
GB_GCA_902758075.1	101
GB_GCA_902758945.1	60
GB_GCA_902759475.1	57
GB_GCA_902765275.1	140
GB_GCA_902769175.1	70
GB_GCA_902777105.1	319
GB_GCA_902780425.1	146
GB_GCA_902785165.1	126
GB_GCA_902787415.1	178
GB_GCA_902788255.1	70
GB_GCA_902812505.1	114
GB_GCA_903930505.1	441
GB_GCA_905187815.1	31
GB_GCA_905213915.1	99
GB_GCA_905620485.1	52
RS_GCF_000007065.1	1
RS_GCF_000011005.1	1
RS_GCF_000012285.1	1
RS_GCF_000019605.1	1
RS_GCF_000022365.1	1
RS_GCF_000022545.1	1
RS_GCF_000024305.1	3
RS_GCF_000151225.1	25
RS_GCF_000186365.1	1
RS_GCF_000328665.1	2
RS_GCF_000336615.1	81
RS_GCF_000336815.1	58
RS_GCF_000336915.1	36
RS_GCF_000336975.1	38
RS_GCF_000337675.1	44
RS_GCF_000337815.1	20
RS_GCF_000485535.1	36
RS_GCF_000710605.1	20
RS_GCF_000978965.1	184
RS_GCF_000979045.1	180
RS_GCF_000979095.1	211
RS_GCF_000979335.1	200
RS_GCF_000979385.1	104
RS_GCF_000979425.1	101
RS_GCF_001560115.1	2
RS_GCF_001560405.1	17
RS_GCF_001560605.1	8
RS_GCF_001647085.1	1
RS_GCF_001888095.1	21
RS_GCF_001953745.1	3
RS_GCF_002072215.1	40
RS_GCF_002135045.1	146
RS_GCF_002214605.1	1
RS_GCF_002287175.1	41
RS_GCF_003052125.1	1
RS_GCF_003351865.1	1
RS_GCF_003385755.1	7
RS_GCF_003722115.1	17
RS_GCF_003722155.1	21
RS_GCF_003862495.1	61
RS_GCF_004104135.1	74
RS_GCF_004323575.1	148
RS_GCF_004765805.1	18
RS_GCF_005435095.1	53
RS_GCF_006861655.1	6
RS_GCF_008389435.1	44
RS_GCF_009742825.1	379
RS_GCF_009831625.1	21
RS_GCF_011319465.1	24
RS_GCF_011440375.1	6
RS_GCF_012027645.1	4
RS_GCF_013761205.1	10
RS_GCF_016906025.1	6
RS_GCF_018132105.1	55
RS_GCF_018141185.1	1
RS_GCF_019175345.1	2
RS_GCF_900069765.1	206
RS_GCF_900079115.1	1
RS_GCF_900100385.1	57
RS_GCF_900103505.1	74
RS_GCF_900107205.1	29
RS_GCF_900110215.1	122
RS_GCF_900114025.1	86
RS_GCF_900114835.1	20
RS_GCF_900116205.1	16
RS_GCF_900129775.1	18
RS_GCF_900167955.1	24
RS_GCF_900773955.1	29
GB_GCA_000416085.1	614
GB_GCA_000447225.1	118
GB_GCA_000565255.1	46
GB_GCA_000722915.1	171
GB_GCA_000746685.1	141
GB_GCA_000746765.1	77
GB_GCA_000789255.1	1
GB_GCA_001315985.1	65
GB_GCA_001316305.1	243
GB_GCA_001510225.1	29
GB_GCA_001516765.1	223
GB_GCA_001552015.1	1
GB_GCA_001560915.1	1
GB_GCA_001564195.1	55
GB_GCA_001564275.1	136
GB_GCA_001587715.1	306
GB_GCA_001595915.1	84
GB_GCA_001627235.1	92
GB_GCA_001628485.1	37
GB_GCA_001786415.1	99
GB_GCA_001871595.1	80
GB_GCA_001871655.1	60
GB_GCA_001872125.1	39
GB_GCA_002009985.1	57
GB_GCA_002067045.1	230
GB_GCA_002067325.1	182
GB_GCA_002067485.1	165
GB_GCA_002495365.1	61
GB_GCA_002495845.1	311
GB_GCA_002495945.1	282
GB_GCA_002496475.1	269
GB_GCA_002496545.1	471
GB_GCA_002496555.1	86
GB_GCA_002497545.1	87
GB_GCA_002497655.1	111
GB_GCA_002498225.1	75
GB_GCA_002498375.1	36
GB_GCA_002498705.1	88
GB_GCA_002498805.1	101
GB_GCA_002499095.1	70
GB_GCA_002499275.1	176
GB_GCA_002499645.1	107
GB_GCA_002499685.1	225
GB_GCA_002499865.1	149
GB_GCA_002501845.1	175
GB_GCA_002501965.1	243
GB_GCA_002502165.1	87
GB_GCA_002502655.1	88
GB_GCA_002503265.1	192
GB_GCA_002503295.1	281
GB_GCA_002503675.1	278
GB_GCA_002503905.1	366
GB_GCA_002504585.1	82
GB_GCA_002505185.1	209
GB_GCA_002505775.1	60
GB_GCA_002506565.1	149
GB_GCA_002506755.1	48
GB_GCA_002508465.1	439
GB_GCA_002508705.1	82
GB_GCA_002509265.1	296
GB_GCA_002509415.1	138
GB_GCA_002509545.1	241
GB_GCA_002685415.1	85
GB_GCA_002686775.1	49
GB_GCA_002686855.1	78
GB_GCA_002689165.1	80
GB_GCA_002690785.1	71
GB_GCA_002702715.1	36
GB_GCA_002703075.2	41
GB_GCA_002704585.1	24
GB_GCA_002705345.1	15
GB_GCA_002709285.1	22
GB_GCA_002715725.1	57
GB_GCA_002719355.1	40
GB_GCA_002724795.1	67
GB_GCA_002731195.1	69
GB_GCA_002762665.1	124
GB_GCA_002762865.1	114
GB_GCA_002763335.1	295
GB_GCA_002778915.1	112
GB_GCA_002781145.1	191
GB_GCA_002788515.1	162
GB_GCA_002792685.1	128
GB_GCA_002792915.1	86
GB_GCA_002794155.1	57
GB_GCA_002839685.1	534
GB_GCA_002899805.1	312
GB_GCA_003009795.1	1
GB_GCA_003021235.1	215
GB_GCA_003056285.1	39
GB_GCA_003141295.1	120
GB_GCA_003158275.1	299
GB_GCA_003160575.1	297
GB_GCA_003171385.1	188
GB_GCA_003194435.1	47
GB_GCA_003551525.1	157
GB_GCA_003553905.1	36
GB_GCA_003555125.1	397
GB_GCA_003599055.1	26
GB_GCA_003601605.1	77
GB_GCA_003602455.1	196
GB_GCA_003602475.1	82
GB_GCA_003650815.1	175
GB_GCA_003650865.1	217
GB_GCA_003660485.1	278
GB_GCA_003662325.1	188
GB_GCA_003663445.1	111
GB_GCA_003663475.1	116
GB_GCA_003663585.1	211
GB_GCA_003663695.1	248
GB_GCA_003672275.1	302
GB_GCA_003672595.1	313
GB_GCA_003672735.1	228
GB_GCA_004195625.1	69
GB_GCA_004332335.1	45
GB_GCA_004347845.1	135
GB_GCA_005223125.1	72
GB_GCA_005239615.1	121
GB_GCA_005504395.1	276
GB_GCA_005877185.1	260
GB_GCA_005877385.1	90
GB_GCA_005878375.1	186
GB_GCA_005878625.1	250
GB_GCA_005884215.1	205
GB_GCA_007050235.1	336
GB_GCA_007050895.1	215
GB_GCA_007122875.1	125
GB_GCA_007131485.1	414
GB_GCA_007280335.1	84
GB_GCA_009649835.1	272
GB_GCA_009694755.1	28
GB_GCA_009780795.1	143
GB_GCA_009786295.1	144
GB_GCA_009789175.1	3
GB_GCA_009836545.1	234
GB_GCA_009844325.1	221
GB_GCA_009889545.1	340
GB_GCA_009903905.1	317
GB_GCA_009937025.1	186
GB_GCA_009995055.1	249
GB_GCA_009995255.1	248
GB_GCA_011042275.1	153
GB_GCA_011042415.1	184
GB_GCA_011042535.1	134
GB_GCA_011053435.1	10
GB_GCA_011054055.1	281
GB_GCA_011055445.1	238
GB_GCA_011058825.1	12
GB_GCA_011362825.1	80
GB_GCA_011364155.1	155
GB_GCA_011364565.1	215
GB_GCA_011366335.1	176
GB_GCA_011366615.1	84
GB_GCA_011367065.1	74
GB_GCA_011367275.1	103
GB_GCA_011370395.1	129
GB_GCA_011370995.1	324
GB_GCA_011372935.1	145
GB_GCA_011375785.1	63
GB_GCA_011380155.1	240
GB_GCA_011388575.1	227
GB_GCA_012515445.1	127
GB_GCA_012719835.1	289
GB_GCA_012800035.1	445
GB_GCA_012960735.1	66
GB_GCA_012964315.1	198
GB_GCA_013002265.1	225
GB_GCA_013043295.1	160
GB_GCA_013152905.1	50
GB_GCA_013152995.1	171
GB_GCA_013154145.1	76
GB_GCA_013287585.1	61
GB_GCA_013329175.1	247
GB_GCA_013329295.1	320
GB_GCA_013329555.1	260
GB_GCA_013329565.1	203
GB_GCA_013329575.1	193
GB_GCA_013329925.1	353
GB_GCA_013330155.1	480
GB_GCA_013330165.1	253
GB_GCA_013330375.1	199
GB_GCA_013330385.1	293
GB_GCA_013331535.1	111
GB_GCA_013331795.1	53
GB_GCA_013331945.1	61
GB_GCA_013332015.1	132
GB_GCA_013415565.1	80
GB_GCA_013415865.1	1
GB_GCA_013425375.1	89
GB_GCA_014189675.1	39
GB_GCA_014240255.1	141
GB_GCA_014240385.1	96
GB_GCA_014727935.1	107
GB_GCA_014728565.1	152
GB_GCA_014728745.1	83
GB_GCA_014728875.1	138
GB_GCA_014729555.1	58
GB_GCA_014859725.1	286
GB_GCA_015520785.1	139
GB_GCA_015521175.1	131
GB_GCA_015521515.1	62
GB_GCA_015521565.1	132
GB_GCA_015522025.1	200
GB_GCA_015522185.1	311
GB_GCA_015522765.1	167
GB_GCA_015658345.1	275
GB_GCA_015660865.1	9
GB_GCA_015660965.1	170
GB_GCA_015661775.1	165
GB_GCA_016106185.1	47
GB_GCA_016179945.1	29
GB_GCA_016180035.1	68
GB_GCA_016181325.1	146
GB_GCA_016182015.1	31
GB_GCA_016185435.1	23
GB_GCA_016185815.1	83
GB_GCA_016185945.1	24
GB_GCA_016187385.1	3
GB_GCA_016187465.1	8
GB_GCA_016187565.1	35
GB_GCA_016192905.1	6
GB_GCA_016195275.1	34
GB_GCA_016198585.1	16
GB_GCA_016198605.1	96
GB_GCA_016198625.1	88
GB_GCA_016203175.1	92
GB_GCA_016207465.1	155
GB_GCA_016214075.1	46
GB_GCA_016215305.1	186
GB_GCA_016782315.1	438
GB_GCA_016839405.1	464
GB_GCA_016840315.1	181
GB_GCA_016840785.1	146
GB_GCA_016841785.1	170
GB_GCA_016844685.1	157
GB_GCA_016929895.1	56
GB_GCA_016930555.1	80
GB_GCA_016932815.1	25
GB_GCA_016935155.1	59
GB_GCA_016935455.1	86
GB_GCA_017094465.1	2
GB_GCA_017413035.1	144
GB_GCA_017433025.1	203
GB_GCA_017468935.1	212
GB_GCA_017472625.1	144
GB_GCA_017601345.1	38
GB_GCA_017608005.1	250
GB_GCA_017608295.1	100
GB_GCA_017608405.1	26
GB_GCA_017608505.1	23
GB_GCA_017608645.1	114
GB_GCA_017608995.1	110
GB_GCA_017609655.1	128
GB_GCA_017610145.1	140
GB_GCA_017610335.1	95
GB_GCA_017616575.1	247
GB_GCA_017857615.1	184
GB_GCA_017940815.1	88
GB_GCA_017994095.1	135
GB_GCA_018221105.1	11
GB_GCA_018238155.1	46
GB_GCA_018238375.1	282
GB_GCA_018260615.1	165
GB_GCA_018302125.1	33
GB_GCA_018303005.1	54
GB_GCA_018303165.1	51
GB_GCA_018303245.1	77
GB_GCA_018303425.1	39
GB_GCA_018303485.1	32
GB_GCA_018303565.1	83
GB_GCA_018303705.1	67
GB_GCA_018303785.1	54
GB_GCA_018303885.1	18
GB_GCA_018303895.1	94
GB_GCA_018304055.1	79
GB_GCA_018304615.1	22
GB_GCA_018335335.1	178
GB_GCA_018396405.1	109
GB_GCA_018396555.1	195
GB_GCA_018396705.1	9
GB_GCA_018396815.1	12
GB_GCA_018396855.1	317
GB_GCA_018433005.1	93
GB_GCA_018434885.1	133
GB_GCA_018623995.1	224
GB_GCA_018649825.1	178
GB_GCA_018649855.1	23
GB_GCA_018659235.1	42
GB_GCA_018661885.1	293
GB_GCA_018662825.1	123
GB_GCA_018665145.1	290
GB_GCA_018674115.1	29
GB_GCA_018696115.1	13
GB_GCA_018696235.1	17
GB_GCA_018696375.1	171
GB_GCA_018698865.1	133
GB_GCA_018702655.1	355
GB_GCA_018812625.1	43
GB_GCA_018894775.1	381
GB_GCA_018898425.1	112
GB_GCA_018899285.1	128
GB_GCA_018899435.1	179
GB_GCA_018901755.1	21
GB_GCA_018920255.1	26
GB_GCA_018920315.1	19
GB_GCA_018992685.1	45
GB_GCA_019057375.1	159
GB_GCA_019058215.1	371
GB_GCA_902386555.1	11
GB_GCA_902512865.1	39
GB_GCA_902529885.1	23
GB_GCA_902530535.1	55
GB_GCA_902558235.1	35
GB_GCA_902576965.1	43
GB_GCA_902578515.1	58
GB_GCA_902578795.1	37
GB_GCA_902606965.1	46
GB_GCA_902629035.1	54
GB_GCA_902757365.1	38
GB_GCA_902759335.1	207
GB_GCA_902764455.1	88
GB_GCA_902771225.1	124
GB_GCA_902774605.1	110
GB_GCA_902777245.1	102
GB_GCA_902777475.1	208
GB_GCA_902781855.1	230
GB_GCA_902799005.1	308
GB_GCA_902800615.1	64
GB_GCA_903828555.1	582
GB_GCA_903830965.1	151
GB_GCA_903835465.1	158
GB_GCA_903840245.1	386
GB_GCA_903857235.1	160
GB_GCA_903858385.1	135
GB_GCA_903884205.1	103
GB_GCA_903901015.1	117
GB_GCA_903907105.1	334
GB_GCA_903914655.1	243
GB_GCA_903922105.1	177
GB_GCA_905234905.1	135
GB_GCA_905236795.1	295
GB_GCA_905477435.1	277
RS_GCF_000020905.1	1
RS_GCF_000023945.1	1
RS_GCF_000092305.1	1
RS_GCF_000189955.1	40
RS_GCF_000189995.1	47
RS_GCF_000190175.1	108
RS_GCF_000243315.1	120
RS_GCF_000245275.1	1
RS_GCF_000246985.2	1
RS_GCF_000306765.2	4
RS_GCF_000328285.1	777
RS_GCF_000337175.1	88
RS_GCF_000337335.1	68
RS_GCF_000337595.1	70
RS_GCF_000363885.1	81
RS_GCF_000371805.1	2
RS_GCF_000493245.1	42
RS_GCF_000632495.1	68
RS_GCF_000739575.1	81
RS_GCF_000828555.1	1
RS_GCF_000969885.1	1
RS_GCF_000979185.1	172
RS_GCF_001485535.1	4
RS_GCF_001541925.1	26
RS_GCF_001548675.1	1
RS_GCF_001559955.1	16
RS_GCF_001560125.1	7
RS_GCF_001560165.1	13
RS_GCF_001560455.1	17
RS_GCF_001560555.1	10
RS_GCF_001560725.1	7
RS_GCF_001593955.1	23
RS_GCF_001723155.1	420
RS_GCF_002156965.1	1
RS_GCF_002177135.1	8
RS_GCF_002214565.1	1
RS_GCF_002287195.1	29
RS_GCF_002761295.1	7
RS_GCF_002906215.1	1
RS_GCF_003149675.1	48
RS_GCF_003382985.1	167
RS_GCF_003665905.1	69
RS_GCF_003675855.1	17
RS_GCF_003721435.2	2
RS_GCF_003852215.1	1
RS_GCF_004310395.1	5
RS_GCF_004521895.1	26
RS_GCF_004765785.1	35
RS_GCF_006543045.1	89
RS_GCF_007050195.1	374
RS_GCF_008326385.1	1
RS_GCF_008806815.1	3
RS_GCF_009217585.1	1
RS_GCF_009729515.1	5
RS_GCF_009791395.1	50
RS_GCF_009831455.1	4
RS_GCF_010119205.1	7
RS_GCF_012027545.1	201
RS_GCF_012163165.1	123
RS_GCF_013342135.1	4
RS_GCF_013391635.1	2
RS_GCF_013839515.1	58
RS_GCF_014530665.1	17
RS_GCF_014647455.2	13
RS_GCF_015209645.1	10
RS_GCF_019175305.1	1
RS_GCF_900100335.1	11
RS_GCF_900115675.1	37
RS_GCF_900177045.1	8
RS_GCF_901111125.1	27
RS_GCF_902387325.1	16
GB_GCA_000189875.2	102
GB_GCA_001316145.1	29
GB_GCA_001421185.1	182
GB_GCA_001508815.1	153
GB_GCA_001516585.1	155
GB_GCA_001563325.1	266
GB_GCA_001563965.1	134
GB_GCA_001564135.1	205
GB_GCA_001587575.1	61
GB_GCA_001593875.1	81
GB_GCA_001627075.1	118
GB_GCA_001628455.1	34
GB_GCA_001629165.1	186
GB_GCA_001629255.1	56
GB_GCA_001875365.1	24
GB_GCA_002010975.1	43
GB_GCA_002011215.1	154
GB_GCA_002069575.1	574
GB_GCA_002171315.2	87
GB_GCA_002255045.1	113
GB_GCA_002457595.1	40
GB_GCA_002494565.1	82
GB_GCA_002495105.1	216
GB_GCA_002495125.1	158
GB_GCA_002495235.1	116
GB_GCA_002495465.1	127
GB_GCA_002495525.1	107
GB_GCA_002495685.1	44
GB_GCA_002495725.1	101
GB_GCA_002496005.1	178
GB_GCA_002496425.1	138
GB_GCA_002496805.1	68
GB_GCA_002497525.1	176
GB_GCA_002497815.1	45
GB_GCA_002498605.1	76
GB_GCA_002498665.1	116
GB_GCA_002499015.1	327
GB_GCA_002499425.1	160
GB_GCA_002499785.1	183
GB_GCA_002499825.1	145
GB_GCA_002501655.1	90
GB_GCA_002501775.1	9
GB_GCA_002501935.1	662
GB_GCA_002502855.1	63
GB_GCA_002502965.1	11
GB_GCA_002503185.1	288
GB_GCA_002503285.1	38
GB_GCA_002503545.1	56
GB_GCA_002504005.1	202
GB_GCA_002506165.1	39
GB_GCA_002506875.1	200
GB_GCA_002507065.1	230
GB_GCA_002508725.1	287
GB_GCA_002509485.1	228
GB_GCA_002509495.1	165
GB_GCA_002509605.1	163
GB_GCA_002683155.1	72
GB_GCA_002687305.1	39
GB_GCA_002687355.1	48
GB_GCA_002696615.1	31
GB_GCA_002711985.1	23
GB_GCA_002718215.1	45
GB_GCA_002718975.1	23
GB_GCA_002722615.1	38
GB_GCA_002722735.1	20
GB_GCA_002725315.1	52
GB_GCA_002725535.1	66
GB_GCA_002730005.1	93
GB_GCA_002790875.1	81
GB_GCA_002791855.1	127
GB_GCA_003019535.1	66
GB_GCA_003019595.1	195
GB_GCA_003022685.1	274
GB_GCA_003022805.1	208
GB_GCA_003141335.1	174
GB_GCA_003141775.1	237
GB_GCA_003163455.1	128
GB_GCA_003164815.1	129
GB_GCA_003194425.1	8
GB_GCA_003229935.1	228
GB_GCA_003352285.1	5
GB_GCA_003552325.1	287
GB_GCA_003552845.1	42
GB_GCA_003552885.1	259
GB_GCA_003559215.1	222
GB_GCA_003562145.1	123
GB_GCA_003601875.1	75
GB_GCA_003602645.1	105
GB_GCA_003649375.1	371
GB_GCA_003649495.1	247
GB_GCA_003650935.1	236
GB_GCA_003662205.1	209
GB_GCA_003662765.1	205
GB_GCA_003663115.1	165
GB_GCA_003672655.1	358
GB_GCA_003694495.1	106
GB_GCA_003695045.1	159
GB_GCA_003702495.1	106
GB_GCA_004193545.1	46
GB_GCA_004211975.1	250
GB_GCA_004375695.1	37
GB_GCA_005877365.1	379
GB_GCA_007133925.1	160
GB_GCA_008080735.1	163
GB_GCA_008080745.1	19
GB_GCA_009781395.1	163
GB_GCA_009783705.1	107
GB_GCA_009887025.1	42
GB_GCA_009889515.1	154
GB_GCA_009928695.1	154
GB_GCA_011047595.1	17
GB_GCA_011051125.1	54
GB_GCA_011330825.1	156
GB_GCA_011331665.1	54
GB_GCA_011332615.1	59
GB_GCA_011333035.1	12
GB_GCA_011361905.1	230
GB_GCA_011364235.1	12
GB_GCA_011369665.1	114
GB_GCA_011372985.1	249
GB_GCA_011375535.1	190
GB_GCA_012519275.1	81
GB_GCA_012960685.1	58
GB_GCA_013044425.1	217
GB_GCA_013154355.1	121
GB_GCA_013203345.1	144
GB_GCA_013306035.1	18
GB_GCA_013306055.1	36
GB_GCA_013328975.1	86
GB_GCA_013329035.1	54
GB_GCA_013329045.1	56
GB_GCA_013329235.1	105
GB_GCA_013329665.1	196
GB_GCA_013330285.1	360
GB_GCA_013330355.1	300
GB_GCA_013330915.1	210
GB_GCA_013331265.1	753
GB_GCA_013331595.1	119
GB_GCA_013378375.1	46
GB_GCA_013388835.1	125
GB_GCA_013390785.1	26
GB_GCA_013390855.1	13
GB_GCA_013538795.1	41
GB_GCA_014361255.1	43
