pairid	anim_ani	inv_events	syn2b_junctions	dnadiff_inverted_fraction	syn2b_inv	max_contigs	phylum	species_pair	dataset
GCF_003387275.1__GCF_003634175.1	97.27	46.0	68.0	0.7929592921971828	0.8014	3	Proteobacteria	Paraburkholderia sp003002025 vs Paraburkholderia sp003002025	high_ani
GCF_003386115.1__GCF_004366535.1	97.19	46.0	67.0	0.8475728752990864	0.85669	3	Proteobacteria	Paraburkholderia sp003002025 vs Paraburkholderia sp003002025	high_ani
GCF_000661935.1__GCF_000807315.1	98.58	44.0	35.0	0.6254641753244333	0.62405	10	Proteobacteria	Bradyrhizobium japonicum vs Bradyrhizobium japonicum	high_ani
GCF_003387275.1__GCF_004366535.1	97.69	44.0	86.0	0.1387585683691283	0.13201	3	Proteobacteria	Paraburkholderia sp003002025 vs Paraburkholderia sp003002025	high_ani
GCF_000160735.1__GCF_003664375.1	97.19	44.0	35.0	0.6479329549105709	0.63922	135	Proteobacteria	Rickettsia tamurae vs Rickettsia tamurae	high_ani
GCF_001280885.1__GCF_004364395.1	98.98	42.0	36.0	0.5088088440545164	0.50982	243	Actinobacteriota	Streptomyces katrae_B vs Streptomyces katrae_B	high_ani
GCF_001436325.1__GCF_009217765.1	98.2	42.0	16.0	0.4683412032646423	0.46989	180	Firmicutes	Schleiferilactobacillus harbinensis vs Schleiferilactobacillus harbinensis	high_ani
GCF_003124115.1__GCF_003989055.1	98.73	41.0	42.0	0.6045588240486708	0.62735	181	Firmicutes	Spiroplasma poulsonii vs Spiroplasma poulsonii	high_ani
GCA_013316185.1__GCA_910579715.1	98.3	41.0	7.0	0.5174895927243747	0.4989	224	Firmicutes_A	Sporofaciens sp009774295 vs Sporofaciens sp009774295	high_ani
GCF_006348105.1__GCF_013363775.1	97.99	40.0	50.0	0.4822566792365632	0.51127	1	Campylobacterota	Campylobacter_D jejuni vs Campylobacter_D jejuni	high_ani
GCA_002321935.1__GCF_012583295.1	99.68	39.0	78.0	0.6164225408472593	0.62933	284	Cyanobacteria	Raphidiopsis brookii vs Raphidiopsis brookii	high_ani
GCA_013316065.1__GCA_017482695.1	99.17	38.0	15.0	0.5090782695901901	0.49821	282	Bacteroidota	Merdimorpha sp003150615 vs Merdimorpha sp003150615	high_ani
GCF_004126515.1__GCF_900188075.1	98.9	38.0	16.0	0.5568986317629133	0.56727	49	Halobacteriota	Halorubrum ezzemoulense vs Halorubrum ezzemoulense	high_ani
GCF_900452285.1__GCF_900637935.1	98.77	38.0	22.0	0.5821391636087853	0.57423	2	Firmicutes	Kurthia zopfii vs Kurthia zopfii	high_ani
GCF_000210615.1__GCF_015547135.1	98.65	38.0	41.0	0.5308633649562028	0.5298	364	Firmicutes	Faecalitalea cylindroides vs Faecalitalea cylindroides	high_ani
GCA_002502935.1__GCF_900036045.1	97.94	38.0	19.0	0.5683928084950496	0.5824	366	Halobacteriota	Methanoculleus bourgensis vs Methanoculleus bourgensis	high_ani
GCF_004364395.1__GCF_004794975.1	98.91	37.0	30.0	0.5250777858633702	0.52142	110	Actinobacteriota	Streptomyces katrae_B vs Streptomyces katrae_B	high_ani
GCA_902387115.1__GCA_905199675.1	98.4	36.0	12.0	0.3488198689937705	0.32449	68	Firmicutes_A	Monoglobus pectinilyticus vs Monoglobus pectinilyticus	high_ani
GCF_011751035.2__GCF_014650355.1	97.88	36.0	25.0	0.6236365251774235	0.62779	68	Actinobacteriota	Streptomyces xanthochromogenes vs Streptomyces xanthochromogenes	high_ani
GCF_000158435.2__GCF_900198355.1	97.01	35.0	48.0	0.5666357788769045	0.58294	81	Campylobacterota	Helicobacter_A rappini vs Helicobacter_A rappini	high_ani
GCF_003516165.1__GCF_003958395.1	99.94	34.0	83.0	0.4231946783393437	0.42233	177	Proteobacteria	Serratia nematodiphila vs Serratia nematodiphila	high_ani
GCF_001447335.1__GCF_004919485.1	98.97	34.0	27.0	0.2489194999028692	0.2384	1	Proteobacteria	Aeromonas schubertii vs Aeromonas schubertii	high_ani
GCF_001447335.1__GCF_001481395.1	98.94	34.0	20.0	0.4517052844650818	0.45107	69	Proteobacteria	Aeromonas schubertii vs Aeromonas schubertii	high_ani
GCF_001043875.1__GCF_017347565.1	98.23	34.0	49.0	0.507324433175058	0.49798	560	Proteobacteria	Methylobacterium indicum vs Methylobacterium indicum	high_ani
GCF_000025645.1__GCF_000092965.1	98.16	34.0	3.0	0.0095609704517183	0.0	1	Firmicutes_A	Thermoanaerobacter thermocopriae vs Thermoanaerobacter thermocopriae	high_ani
GCF_011007525.1__GCF_013364375.1	97.01	34.0	17.0	0.6821650282612323	0.6874	61	Actinobacteriota	Streptomyces sp000772045 vs Streptomyces sp000772045	high_ani
GCA_013316065.1__GCA_900766715.1	99.3	33.0	12.0	0.4981400754726001	0.49228	282	Bacteroidota	Merdimorpha sp003150615 vs Merdimorpha sp003150615	high_ani
GCF_001667745.1__GCF_001672685.1	99.15	33.0	19.0	0.5117725622169764	0.505	485	Actinobacteriota	Mycobacterium sp001666755 vs Mycobacterium sp001666755	high_ani
GCF_001587495.1__GCF_002300135.1	97.5	33.0	9.0	0.4806242757894419	0.46669	308	Firmicutes	Geobacillus stearothermophilus vs Geobacillus stearothermophilus	high_ani
GCF_001008135.1__GCF_900215595.1	99.61	31.0	53.0	0.5048962831586333	0.49868	991	Actinobacteriota	Streptomyces stelliscabiei vs Streptomyces stelliscabiei	high_ani
GCF_001189035.1__GCF_900215595.1	99.46	31.0	54.0	0.6552417417455344	0.6503	705	Actinobacteriota	Streptomyces stelliscabiei vs Streptomyces stelliscabiei	high_ani
GCF_000015385.1__GCF_003203895.1	99.03	31.0	9.0	0.5052883418960927	0.50618	226	Firmicutes	Lactobacillus helveticus vs Lactobacillus helveticus	high_ani
GCA_016858235.1__GCF_002994485.1	98.06	31.0	45.0	0.4983512527470166	0.48242	141	Proteobacteria	Chromobacterium amazonense vs Chromobacterium amazonense	high_ani
GCF_003315425.1__GCF_013283205.1	97.48	31.0	30.0	0.4655512959272783	0.49396	52	Proteobacteria	Shewanella sp002966515 vs Shewanella sp002966515	high_ani
GCF_004348575.1__GCF_014205085.1	97.17	31.0	26.0	0.4806099034376806	0.48588	565	Actinobacteriota	Spirillospora livida vs Spirillospora livida	high_ani
GCF_001481395.1__GCF_004919485.1	99.03	30.0	11.0	0.335263514154093	0.32713	69	Proteobacteria	Aeromonas schubertii vs Aeromonas schubertii	high_ani
GCF_001665365.1__GCF_002086605.1	99.03	30.0	12.0	0.4500812739969593	0.45258	501	Actinobacteriota	Mycobacterium elephantis vs Mycobacterium elephantis	high_ani
GCA_010026885.1__GCA_010027705.1	98.98	30.0	6.0	0.4018287083436275	0.41051	374	Actinobacteriota	F1-60-MAGs027 sp010025655 vs F1-60-MAGs027 sp010025655	high_ani
GCF_000019945.1__GCF_006740745.1	98.0	30.0	28.0	0.0143559364049759	0.00778	3	Proteobacteria	Methylobacterium thiocyanatum vs Methylobacterium thiocyanatum	high_ani
GCA_002425625.1__GCF_003086915.1	97.11	29.0	33.0	0.4414601561832936	0.44469	451	Proteobacteria	Stenotrophomonas sp003086775 vs Stenotrophomonas sp003086775	high_ani
GCA_017857535.1__GCF_000189575.1	99.06	28.0	4.0	0.4613418980669224	0.47408	145	Thermoproteota	Saccharolobus islandicus vs Saccharolobus islandicus	high_ani
GCF_002327125.1__GCF_014050135.1	98.07	28.0	10.0	0.6420315882380062	0.64373	97	Actinobacteriota	Gordonia amicalis vs Gordonia amicalis	high_ani
GCF_002370195.2__GCF_014202525.1	98.65	27.0	6.0	0.4924276805360436	0.51363	97	Firmicutes	Ureibacillus thermosphaericus vs Ureibacillus thermosphaericus	high_ani
GCF_000696365.2__GCF_000965155.1	98.42	27.0	17.0	0.3733001952472615	0.34146	207	Proteobacteria	Rickettsia tamurae vs Rickettsia tamurae	high_ani
GCF_002327125.1__GCF_012395955.1	98.31	27.0	13.0	0.3928538045936773	0.37688	59	Actinobacteriota	Gordonia amicalis vs Gordonia amicalis	high_ani
GCA_905372985.1__GCF_018127845.1	98.19	27.0	20.0	0.6910148244518608	0.69625	92	Bacteroidota	Prevotella nigrescens vs Prevotella nigrescens	high_ani
GCF_000236065.1__GCF_000828875.1	98.14	27.0	61.0	0.2046489999068394	0.17406	6	Proteobacteria	Caballeronia cordobensis vs Caballeronia cordobensis	high_ani
GCA_010025735.1__GCA_010025795.1	98.98	26.0	5.0	0.4155884024926511	0.40402	388	Actinobacteriota	F1-60-MAGs027 sp010025655 vs F1-60-MAGs027 sp010025655	high_ani
GCF_003293325.1__GCF_900102295.1	98.92	26.0	14.0	0.0006774294366018	0.0001	37	Proteobacteria	Pseudomonas_E thivervalensis vs Pseudomonas_E thivervalensis	high_ani
GCF_002763595.1__GCF_002763815.1	97.99	26.0	15.0	0.9933305441892264	0.99446	1	Fusobacteriota	Fusobacterium pseudoperiodonticum vs Fusobacterium pseudoperiodonticum	high_ani
GCF_012726095.1__GCF_017612575.1	97.69	26.0	17.0	0.1969648876745982	0.20303	85	Halobacteriota	Halomicrobium sp009617995 vs Halomicrobium sp009617995	high_ani
GCF_000514995.1__GCF_004217635.1	97.12	26.0	37.0	0.6509439527301898	0.66225	91	Actinobacteriota	Streptomyces sp002797655 vs Streptomyces sp002797655	high_ani
GCF_000820525.2__GCF_016082235.1	99.2	25.0	7.0	0.4687934478046685	0.51039	144	Firmicutes	Spiroplasma poulsonii vs Spiroplasma poulsonii	high_ani
GCF_000284835.1__GCF_002370195.2	98.61	25.0	4.0	0.3647366642036553	0.36022	63	Firmicutes	Ureibacillus thermosphaericus vs Ureibacillus thermosphaericus	high_ani
GCA_009774295.1__GCA_013316185.1	98.16	25.0	2.0	0.5243723491714034	0.51305	507	Firmicutes_A	Sporofaciens sp009774295 vs Sporofaciens sp009774295	high_ani
GCA_001508735.1__GCF_000175295.2	98.02	25.0	9.0	0.5984497004363905	0.60411	105	Firmicutes_A	Thermoanaerobacter pseudethanolicus vs Thermoanaerobacter pseudethanolicus	high_ani
GCF_003050685.1__GCF_017301795.1	99.4	24.0	23.0	0.1892728346291954	0.19086	1	Proteobacteria	Xanthomonas_A translucens vs Xanthomonas_A translucens	high_ani
GCF_017909135.1__GCF_017909435.1	99.15	24.0	14.0	0.0304155042110708	0.02857	5	Firmicutes	Bacillus_A cytotoxicus vs Bacillus_A cytotoxicus	high_ani
GCA_000740805.1__GCA_000740865.1	99.03	24.0	20.0	0.3929196893156205	0.40855	222	Firmicutes_B	SCADC1-2-3 sp000681355 vs SCADC1-2-3 sp000681355	high_ani
GCF_000262445.1__GCF_900112905.1	98.36	24.0	14.0	0.429843720597556	0.43403	133	Firmicutes_A	Thermoanaerobacter ethanolicus vs Thermoanaerobacter ethanolicus	high_ani
GCA_017331025.1__GCF_003017145.1	97.7	24.0	40.0	0.4827018690024144	0.50627	78	Firmicutes_A	Clostridium_F botulinum_A vs Clostridium_F botulinum_A	high_ani
GCF_000291475.1__GCF_004306995.1	97.62	24.0	12.0	0.542882349950761	0.50584	71	Firmicutes	Bacillus_A nitratireducens vs Bacillus_A nitratireducens	high_ani
GCF_000965155.1__GCF_003664375.1	97.53	24.0	18.0	0.5249801652121155	0.52365	13	Proteobacteria	Rickettsia tamurae vs Rickettsia tamurae	high_ani
GCF_014893095.1__GCF_016106885.1	97.4	24.0	3.0	0.5352947416640548	0.53803	268	Proteobacteria	Dickeya dianthicola vs Dickeya dianthicola	high_ani
GCF_001644685.1__GCF_002441955.1	97.3	24.0	24.0	0.0129105577621999	0.00957	2	Proteobacteria	Methylomonas koyamae vs Methylomonas koyamae	high_ani
GCF_003124105.1__GCF_016082235.1	99.18	23.0	7.0	0.4658008613371004	0.50461	144	Firmicutes	Spiroplasma poulsonii vs Spiroplasma poulsonii	high_ani
GCF_003028395.1__GCF_016950155.1	98.79	23.0	8.0	0.4500622783510155	0.44251	73	Proteobacteria	Pectobacterium punjabense vs Pectobacterium punjabense	high_ani
GCF_000025645.1__GCF_000518565.1	98.36	23.0	18.0	0.7226870008547992	0.71014	63	Firmicutes_A	Thermoanaerobacter thermocopriae vs Thermoanaerobacter thermocopriae	high_ani
GCF_017788805.1__GCF_900324035.1	99.37	22.0	3.0	0.5161869792211371	0.521	157	Proteobacteria	Bradyrhizobium vignae vs Bradyrhizobium vignae	high_ani
GCA_902385445.1__GCA_905213625.1	99.09	22.0	5.0	0.47739592187311	0.48315	81	Firmicutes_A	Butyribacter sp003529475 vs Butyribacter sp003529475	high_ani
GCF_003111765.1__GCF_003287795.1	99.07	22.0	17.0	0.5121880559778051	0.50806	226	Actinobacteriota	Actinomyces glycerinitolerans vs Actinomyces glycerinitolerans	high_ani
GCA_016858235.1__GCF_000812585.1	98.65	22.0	47.0	0.5408746406031975	0.54824	223	Proteobacteria	Chromobacterium amazonense vs Chromobacterium amazonense	high_ani
GCF_002736045.1__GCF_014269205.2	97.85	22.0	34.0	0.0773900116867019	0.0765	24	Proteobacteria	Pseudomonas_E putida_M vs Pseudomonas_E putida_M	high_ani
GCF_012273335.1__GCF_016757895.1	97.61	22.0	7.0	0.5786025940520003	0.64563	114	Firmicutes	Bacillus_A anthracis vs Bacillus_A anthracis	high_ani
GCF_003086915.1__GCF_016624665.1	97.35	22.0	21.0	0.4270618395548052	0.42248	235	Proteobacteria	Stenotrophomonas sp003086775 vs Stenotrophomonas sp003086775	high_ani
GCF_000803195.1__GCF_003049805.1	97.15	22.0	13.0	0.6677006716809955	0.67369	138	Proteobacteria	Dickeya fangzhongdai vs Dickeya fangzhongdai	high_ani
GCF_000965045.1__GCF_002078315.1	99.61	21.0	33.0	0.4150332138147942	0.41512	4	Proteobacteria	Rickettsia bellii vs Rickettsia bellii	high_ani
GCF_000686065.1__GCF_000686965.1	98.43	21.0	4.0	0.5662975325648654	0.56911	48	Firmicutes_A	Butyrivibrio hungatei_A vs Butyrivibrio hungatei_A	high_ani
GCF_001679155.1__GCF_016127895.1	98.18	21.0	12.0	0.424503505269132	0.39297	47	Proteobacteria	Moraxella nonliquefaciens vs Moraxella nonliquefaciens	high_ani
GCF_000965005.1__GCF_000965045.1	99.62	20.0	31.0	0.5837509902297333	0.58575	4	Proteobacteria	Rickettsia bellii vs Rickettsia bellii	high_ani
GCF_000686105.1__GCF_900096675.1	99.01	20.0	16.0	0.4718295989260515	0.45008	160	Firmicutes_A	Robinsoniella peoriensis vs Robinsoniella peoriensis	high_ani
GCF_004564155.1__GCF_900640145.1	98.7	20.0	8.0	0.5504269312061345	0.54447	178	Proteobacteria	Legionella_D israelensis vs Legionella_D israelensis	high_ani
GCA_905201875.1__GCF_000242995.2	98.66	20.0	19.0	0.5906123256827188	0.60692	71	Fusobacteriota	Fusobacterium_A ulcerans vs Fusobacterium_A ulcerans	high_ani
GCF_002761935.1__GCF_002763735.1	98.04	20.0	6.0	0.0046355760804479	0.00111	4	Fusobacteriota	Fusobacterium pseudoperiodonticum vs Fusobacterium pseudoperiodonticum	high_ani
GCF_001643095.1__GCF_006740745.1	98.0	20.0	21.0	0.3492546808332495	0.34287	130	Proteobacteria	Methylobacterium thiocyanatum vs Methylobacterium thiocyanatum	high_ani
GCA_000753235.2__GCF_006714885.1	97.43	20.0	20.0	0.1355188208573971	0.13023	17	Firmicutes_A	Caproiciproducens sp000752215 vs Caproiciproducens sp000752215	high_ani
GCF_000154885.1__GCF_018555775.1	97.02	20.0	33.0	0.4858039751760949	0.48904	731	Actinobacteriota	Streptomyces goshikiensis vs Streptomyces goshikiensis	high_ani
GCA_902383955.1__GCF_002334685.1	99.48	19.0	32.0	0.5310923410484409	0.54893	84	Desulfobacterota_I	Desulfovibrio desulfuricans_A vs Desulfovibrio desulfuricans_A	high_ani
GCF_000835205.1__GCF_001755835.1	99.28	19.0	26.0	0.2184837161836066	0.2141	150	Proteobacteria	Burkholderia plantarii vs Burkholderia plantarii	high_ani
GCF_003675305.1__GCF_004361975.1	99.14	19.0	26.0	0.6350345247066586	0.63664	27	Proteobacteria	Buttiauxella ferragutiae vs Buttiauxella ferragutiae	high_ani
GCF_001432325.1__GCF_001444365.1	98.94	19.0	10.0	0.0046034792152657	0.00097	163	Proteobacteria	Colwellia marinimaniae vs Colwellia marinimaniae	high_ani
GCF_007989745.1__GCF_900637935.1	98.79	19.0	14.0	0.459985367330062	0.4708	137	Firmicutes	Kurthia zopfii vs Kurthia zopfii	high_ani
GCF_008087005.1__GCF_900090095.1	98.28	19.0	34.0	0.4761818845705473	0.45747	930	Actinobacteriota	Streptomyces libani vs Streptomyces libani	high_ani
GCA_003640305.1__GCF_000224615.1	98.06	19.0	19.0	0.4807842337211433	0.47542	246	Bacteroidota	Prevotella oulorum vs Prevotella oulorum	high_ani
GCA_017409075.1__GCA_017451815.1	97.87	19.0	9.0	0.5524314808156394	0.55935	148	Verrucomicrobiota	Akkermansia sp017937215 vs Akkermansia sp017937215	high_ani
GCF_002843945.1__GCF_002951395.1	97.81	19.0	15.0	0.5399756188003536	0.5312	9	Bacteroidota	Elizabethkingia anophelis vs Elizabethkingia anophelis	high_ani
GCA_013374455.1__GCA_013374465.1	97.11	19.0	7.0	0.5099492855060057	0.50162	201	Halobacteriota	Methanocomedens sp009649835 vs Methanocomedens sp009649835	high_ani
GCF_005706215.1__GCF_014524485.1	99.05	18.0	8.0	0.0053944140422715	0.0	5	Firmicutes	Macrococcus_B canis vs Macrococcus_B canis	high_ani
GCF_002075365.1__GCF_009834045.1	98.95	18.0	20.0	0.5984410734137067	0.61461	73	Firmicutes	Anoxybacillus_A rupiensis vs Anoxybacillus_A rupiensis	high_ani
GCF_001984525.1__GCF_007833835.1	98.64	18.0	9.0	0.6438436920439266	0.64313	140	Proteobacteria	Pectobacterium actinidiae vs Pectobacterium actinidiae	high_ani
GCF_001984535.1__GCF_007833835.1	98.64	18.0	9.0	0.6031730486293038	0.60298	139	Proteobacteria	Pectobacterium actinidiae vs Pectobacterium actinidiae	high_ani
GCF_013372245.1__GCF_018500215.1	98.36	18.0	14.0	0.557538551736362	0.54219	67	Campylobacterota	Campylobacter_D upsaliensis vs Campylobacter_D upsaliensis	high_ani
GCF_002893785.1__GCF_009647615.1	98.19	18.0	9.0	0.4584321317691114	0.47761	234	Firmicutes	Laceyella sediminis vs Laceyella sediminis	high_ani
GCA_000509185.1__GCF_001722555.1	97.72	18.0	21.0	0.607901639094118	0.59366	245	Firmicutes_A	Eisenbergiella tayi vs Eisenbergiella tayi	high_ani
GCF_008586805.1__GCF_900407865.1	97.23	18.0	14.0	0.3987983066713512	0.382	33	Proteobacteria	Haemophilus aegyptius vs Haemophilus aegyptius	high_ani
GCF_000758345.1__GCF_014854775.1	97.08	18.0	6.0	0.998653543656697	1.0	2	Proteobacteria	Dickeya fangzhongdai vs Dickeya fangzhongdai	high_ani
GCF_000261585.1__GCF_000773865.1	97.05	18.0	57.0	0.4930074063219338	0.47453	691	Proteobacteria	Bradyrhizobium japonicum vs Bradyrhizobium japonicum	high_ani
GCA_013316575.1__GCA_014237655.1	99.94	17.0	10.0	0.4721758999303192	0.46485	159	Bacteroidota	Alistipes sp002358415 vs Alistipes sp002358415	high_ani
GCF_010868115.1__GCF_010868155.1	99.7	17.0	11.0	0.5217477911520892	0.51749	368	Actinobacteriota	Nocardia cyriacigeorgica_D vs Nocardia cyriacigeorgica_D	high_ani
GCA_902383955.1__GCF_900243745.1	99.49	17.0	32.0	0.5519687656562484	0.56274	84	Desulfobacterota_I	Desulfovibrio desulfuricans_A vs Desulfovibrio desulfuricans_A	high_ani
GCA_902506615.1__GCF_009735725.1	99.1	17.0	39.0	0.5868939825415829	0.59402	148	Proteobacteria	Chania oryzae vs Chania oryzae	high_ani
GCF_004564155.1__GCF_900101805.1	98.7	17.0	5.0	0.4973670960787472	0.49223	165	Proteobacteria	Legionella_D israelensis vs Legionella_D israelensis	high_ani
GCF_000347675.2__GCF_001853345.1	98.64	17.0	17.0	0.023014473798793	0.01904	59	Proteobacteria	Sphingomonas_E fennica vs Sphingomonas_E fennica	high_ani
GCA_003488365.1__GCF_900450975.1	98.37	17.0	27.0	0.4782508068026646	0.50565	856	Proteobacteria	Pseudescherichia vulneris vs Pseudescherichia vulneris	high_ani
GCF_003437625.1__GCF_900454955.1	98.29	17.0	21.0	0.4720598735450649	0.46298	315	Bacteroidota	Prevotella disiens vs Prevotella disiens	high_ani
GCF_001273895.1__GCF_900112635.1	98.18	17.0	23.0	0.461693871406328	0.46551	30	Firmicutes	Fictibacillus_C sp001510655 vs Fictibacillus_C sp001510655	high_ani
GCF_001476875.1__GCF_001913135.1	97.81	17.0	19.0	0.5047203756822689	0.50447	171	Proteobacteria	Pseudomonas_B rhizoryzae vs Pseudomonas_B rhizoryzae	high_ani
GCF_001722585.1__GCF_902385915.1	97.77	17.0	22.0	0.1811770241766459	0.18114	245	Firmicutes_A	Eisenbergiella tayi vs Eisenbergiella tayi	high_ani
GCF_018709825.1__GCF_018847015.1	99.98	16.0	4.0	0.6554131145276967	0.66948	89	Verrucomicrobiota	Akkermansia sp001580195 vs Akkermansia sp001580195	high_ani
GCF_015099135.1__GCF_900452265.1	99.95	16.0	5.0	0.4283419971363079	0.42175	6	Proteobacteria	Kluyvera ascorbata vs Kluyvera ascorbata	high_ani
GCF_002911595.1__GCF_003391415.1	99.74	16.0	26.0	0.4702609004050613	0.4787	509	Actinobacteriota	Mycobacterium marinum vs Mycobacterium marinum	high_ani
GCF_013296705.1__GCF_900461245.1	99.74	16.0	10.0	0.5102679091736035	0.52087	11	Firmicutes_A	Clostridium_AO tetanomorphum vs Clostridium_AO tetanomorphum	high_ani
GCF_001673235.1__GCF_002086345.1	99.42	16.0	3.0	0.564275125632045	0.55502	201	Actinobacteriota	Mycobacterium marseillense vs Mycobacterium marseillense	high_ani
GCA_010026885.1__GCA_010030695.1	99.35	16.0	4.0	0.4245134839847257	0.42165	360	Actinobacteriota	F1-60-MAGs027 sp010025655 vs F1-60-MAGs027 sp010025655	high_ani
GCF_009176685.1__GCF_018130425.1	99.12	16.0	15.0	0.4537632236789487	0.44841	100	Proteobacteria	Bradyrhizobium ottawaense vs Bradyrhizobium ottawaense	high_ani
GCA_002502935.1__GCA_900079125.1	98.82	16.0	14.0	0.5271979319603797	0.51855	366	Halobacteriota	Methanoculleus bourgensis vs Methanoculleus bourgensis	high_ani
GCF_000520875.1__GCF_004028085.1	98.81	16.0	11.0	0.4640865867382842	0.4612	150	Proteobacteria	Rhizobium hidalgonense vs Rhizobium hidalgonense	high_ani
GCF_000158315.2__GCF_003463295.1	98.77	16.0	13.0	0.5388140451101402	0.52746	123	Fusobacteriota	Fusobacterium_A ulcerans vs Fusobacterium_A ulcerans	high_ani
GCF_001556235.1__GCF_003815615.1	98.46	16.0	9.0	0.4530379585620547	0.45391	383	Bacteroidota	Chryseobacterium shandongense vs Chryseobacterium shandongense	high_ani
GCA_002200935.1__GCF_001908615.1	98.36	16.0	25.0	0.5151332118384395	0.53631	236	Proteobacteria	Rhizobium yanglingense vs Rhizobium yanglingense	high_ani
GCA_000820745.1__GCF_001717125.1	98.27	16.0	19.0	0.5280107544850818	0.52285	384	Firmicutes_A	Eisenbergiella tayi vs Eisenbergiella tayi	high_ani
GCA_009774785.1__GCF_016697365.1	98.25	16.0	9.0	0.5600009064889948	0.56486	309	Firmicutes_A	Acutalibacter muris vs Acutalibacter muris	high_ani
GCF_001679125.1__GCF_016028775.1	98.21	16.0	10.0	0.5515631404462885	0.52843	48	Proteobacteria	Moraxella nonliquefaciens vs Moraxella nonliquefaciens	high_ani
GCF_000236065.1__GCF_001988975.1	97.75	16.0	42.0	0.1897689247303829	0.18062	14	Proteobacteria	Caballeronia cordobensis vs Caballeronia cordobensis	high_ani
GCA_002363355.1__GCF_004421065.1	97.42	16.0	23.0	0.4664211993333788	0.47311	228	Proteobacteria	Brevundimonas naejangsanensis_A vs Brevundimonas naejangsanensis_A	high_ani
GCF_001679065.1__GCF_900453305.1	97.12	16.0	13.0	0.5488218311082927	0.53569	87	Proteobacteria	Moraxella_A atlantae vs Moraxella_A atlantae	high_ani
GCA_000300755.1__GCF_016026055.1	99.87	15.0	86.0	0.4845860608169449	0.48578	998	Proteobacteria	Burkholderia glumae vs Burkholderia glumae	high_ani
GCF_010857985.1__GCF_010868155.1	99.74	15.0	11.0	0.4791647801118577	0.47248	368	Actinobacteriota	Nocardia cyriacigeorgica_D vs Nocardia cyriacigeorgica_D	high_ani
GCA_910574955.1__GCF_009911235.1	98.99	15.0	26.0	0.4957482441361551	0.51006	95	Firmicutes_A	Anaerotruncus colihominis_A vs Anaerotruncus colihominis_A	high_ani
GCF_008087005.1__GCF_014649275.1	98.54	15.0	23.0	0.5049285819569965	0.51164	930	Actinobacteriota	Streptomyces libani vs Streptomyces libani	high_ani
GCF_001634305.1__GCF_002075365.1	98.49	15.0	18.0	0.6064278062706778	0.60992	73	Firmicutes	Anoxybacillus_A rupiensis vs Anoxybacillus_A rupiensis	high_ani
