pairid	anim_ani	dnadiff_inverted_fraction	syn2b_inv	syn2b_junctions	dd_inversions_ref	dd_inversions_qry	dd_breakpoints_ref	dd_breakpoints_qry	q_contigs	r_contigs	max_contigs	phylum	species_pair	dataset	inv_events
GCA_902625035.1__GCA_902624635.1	91.55	0.6390753277728896	0.72581	0.0	0.0	0.0	142.0	134.0	26	20	26	Proteobacteria	Pelagibacter sp902625035 vs Pelagibacter sp902624635	held_out	0.0
GCA_011523395.1__GCA_011523635.1	90.73	0.5213327552029604	0.53431	6.0	1.0	2.0	1740.0	1511.0	262	101	262	Actinobacteriota	VXMP01 sp011523395 vs VXMP01 sp011523635	held_out	2.0
GCF_001672755.1__GCF_001667925.1	89.36	0.5073713917321677	0.5504	6.0	6.0	6.0	2054.0	2026.0	197	174	197	Actinobacteriota	Mycobacterium colombiense_C vs Mycobacterium sp001667925	held_out	6.0
GCF_900119365.1__GCF_014649535.1	94.25	0.6111746602166616	0.64037	55.0	15.0	7.0	2641.0	2704.0	117	152	152	Actinobacteriota	Streptomyces atratus_B vs Streptomyces gelaticus	held_out	15.0
GCF_001424165.1__GCA_003520365.1	86.81	0.5361474983259008	0.5641	6.0	10.0	1.0	2711.0	2895.0	28	757	757	Proteobacteria	Massilia sp001424165 vs Massilia sp003520365	held_out	10.0
GCF_001885215.1__GCA_013203655.1	92.14	0.4186644623116413	0.40722	0.0	4.0	0.0	542.0	676.0	1	148	148	Cyanobacteria	QBMD01 sp001885215 vs QBMD01 sp013203655	held_out	4.0
GCA_900547475.1__GCF_004353185.1	92.96	0.5693893480913241	0.60504	3.0	2.0	2.0	1608.0	1555.0	73	151	151	Firmicutes_A	Clostridium sp900547475 vs Clostridium cuniculi	held_out	2.0
GCF_000938265.1__GCF_900177685.1	88.03	0.5683714581361045	0.5369	8.0	0.0	1.0	1175.0	1188.0	20	10	20	Actinobacteriota	Agreia bicolorata vs Agreia pratensis	held_out	1.0
GCF_000402035.1__GCA_001189345.1	88.35	0.4367910730500342	0.46	85.0	41.0	12.0	1968.0	1980.0	5	48	48	Proteobacteria	Caballeronia insecticola vs Caballeronia kirkii_B	held_out	41.0
GCA_017961175.1__GCA_017962375.1	86.26	0.6269944940193659	0.59167	0.0	8.0	8.0	854.0	811.0	82	18	82	Bacteroidota	Egerieousia sp017961175 vs Egerieousia sp017962375	held_out	8.0
GCF_000377565.1__GCF_017741815.1	94.25	0.4974315423631134	0.51411	65.0	13.0	15.0	1326.0	1325.0	46	56	56	Proteobacteria	Rhizobium sp000377565 vs Rhizobium sp017741815	held_out	15.0
GCA_001604135.1__GCA_016292145.1	89.35	0.5507616021582968	0.54988	0.0	2.0	1.0	932.0	1087.0	45	150	150	Firmicutes_A	Saccharofermentans sp001604135 vs Saccharofermentans sp016292145	held_out	2.0
GCA_900553135.1__GCA_905205085.1	86.94	0.476937197535953	0.45794	1.0	3.0	4.0	1464.0	1437.0	249	196	249	Firmicutes_A	Lawsonibacter sp900553135 vs Lawsonibacter sp900766145	held_out	4.0
GCF_900112625.1__GCF_000364445.2	89.1	0.5053657881275802	0.49886	125.0	17.0	168.0	3540.0	3481.0	70	1	70	Proteobacteria	Methylobacterium sp900112625 vs Methylobacterium mesophilicum	held_out	168.0
GCA_902576125.1__GCA_902512325.1	86.01	0.4637266000949886	0.26316	0.0	2.0	2.0	239.0	248.0	37	58	58	Proteobacteria	AG-337-I02 sp902576125 vs AG-337-I02 sp902512325	held_out	2.0
GCA_902576905.1__GCA_902537235.1	90.19	0.472550883515646	0.54167	0.0	1.0	1.0	226.0	234.0	46	59	59	Proteobacteria	CACIJG01 sp902576905 vs CACIJG01 sp902537235	held_out	1.0
GCA_902536925.1__GCA_902518165.1	94.31	0.4215997409326424	0.38938	0.0	0.0	0.0	120.0	112.0	26	35	35	Proteobacteria	Pelagibacter sp902536925 vs Pelagibacter sp902518165	held_out	0.0
GCF_001426905.1__GCA_017745235.1	86.88	0.3809242209497014	0.37539	58.0	19.0	23.0	3200.0	3265.0	26	181	181	Proteobacteria	Caulobacter sp001426905 vs Caulobacter sp017745235	held_out	23.0
GCA_000383735.1__GCA_002323895.1	92.47	0.4401013716992496	0.44167	9.0	23.0	26.0	671.0	659.0	146	368	368	Verrucomicrobiota	SW10 sp000383735 vs SW10 sp002323895	held_out	26.0
GCF_000691165.1__GCF_000691145.1	89.01	0.3966280883542939	0.46757	2.0	0.0	1.0	1039.0	1024.0	37	39	39	Firmicutes	Bacillus safensis vs Bacillus altitudinis	held_out	1.0
GCF_004137255.1__GCF_013155335.1	86.36	0.6904387424269094	0.60595	14.0	23.0	6.0	2452.0	2448.0	9	9	9	Actinobacteriota	Nocardioides oleivorans vs Nocardioides sp013155335	held_out	23.0
GCF_001068775.1__GCA_905221345.1	86.59	0.5631360101357271	0.51685	9.0	2.0	10.0	925.0	891.0	155	148	155	Firmicutes	Streptococcus pseudopneumoniae_N vs Streptococcus sp905221345	held_out	10.0
GCF_001180165.1__GCA_902571955.1	91.11	0.3506563717513764	0.39583	0.0	1.0	1.0	179.0	164.0	62	31	62	Proteobacteria	Pelagibacter ubique_P vs Pelagibacter sp902571955	held_out	1.0
GCF_000960475.2__GCF_014648255.1	89.47	0.437441514243821	0.43516	9.0	10.0	10.0	2489.0	2465.0	86	33	86	Actinobacteriota	Nocardioides luteus_A vs Nocardioides albus	held_out	10.0
GCA_017963805.1__GCA_017539325.1	92.06	0.5329953902845029	0.54266	2.0	4.0	4.0	597.0	716.0	74	183	183	UBA3054	UBA3054 sp017963805 vs UBA3054 sp017539325	held_out	4.0
GCF_001693515.2__GCF_009930815.1	92.05	0.0434364577306435	0.04223	88.0	156.0	164.0	4364.0	4362.0	1	1	1	Proteobacteria	Bradyrhizobium paxllaeri vs Bradyrhizobium sp009930815	held_out	164.0
GCF_002082245.2__GCF_003600645.1	86.01	0.6808235814839217	0.60714	25.0	48.0	55.0	2415.0	2415.0	2	3	3	Proteobacteria	Yersinia enterocolitica_E vs Yersinia rochesterensis	held_out	55.0
GCF_014298075.1__GCF_001598695.1	85.48	0.4092974514252254	0.37278	5.0	26.0	4.0	1973.0	2046.0	1	43	43	Proteobacteria	Klebsiella sp003752615 vs Klebsiella oxytoca	held_out	26.0
GCA_005789325.1__GCA_000428345.2	84.93	0.5779654557373051	0.63636	0.0	5.0	7.0	195.0	176.0	90	70	90	Actinobacteriota	ATZT02 sp005789325 vs ATZT02 sp000428345	held_out	7.0
GCA_900552015.1__GCF_000765235.1	90.34	0.5475899005355777	0.5529	26.0	7.0	9.0	1225.0	1212.0	94	131	131	Firmicutes_A	ER4 sp900552015 vs ER4 sp000765235	held_out	9.0
GCA_902582155.1__GCA_902553555.1	87.19	0.624144447042615	0.86364	0.0	0.0	0.0	162.0	164.0	17	19	19	Proteobacteria	MED727 sp902582155 vs MED727 sp902553555	held_out	0.0
GCA_000831085.1__GCA_905373305.1	91.35	0.4229108586562587	0.3861	3.0	0.0	0.0	568.0	784.0	158	173	173	Firmicutes	Streptococcus sp000831085 vs Streptococcus sp905373305	held_out	0.0
GCF_014222285.1__GCF_013343235.1	93.81	0.5224283942988835	0.52569	95.0	7.0	148.0	5169.0	4934.0	631	1	631	Cyanobacteria	Nostoc sp014222285 vs Nostoc sp013343235	held_out	148.0
GCA_902634305.1__GCA_902587435.1	90.15	0.5837172874767593	0.50725	0.0	6.0	6.0	206.0	199.0	43	45	45	Proteobacteria	Pelagibacter sp902634305 vs Pelagibacter sp902587435	held_out	6.0
GCA_003282205.1__GCA_902617895.1	90.51	0.5470196231610704	0.57377	0.0	0.0	0.0	208.0	208.0	23	22	23	Proteobacteria	Pelagibacter sp003282205 vs Pelagibacter sp902617895	held_out	0.0
GCF_000421725.1__GCF_000166355.1	93.15	0.609914864311878	0.64672	2.0	1.0	18.0	868.0	807.0	37	1	37	Firmicutes_A	Caldicellulosiruptor acetigenus vs Caldicellulosiruptor hydrothermalis	held_out	18.0
GCA_900321605.1__GCA_017542915.1	94.68	0.5448970610204666	0.53692	24.0	5.0	2.0	831.0	877.0	66	94	94	Bacteroidota	RF16 sp900321605 vs RF16 sp017542915	held_out	5.0
GCA_900765185.1__GCA_900765115.1	94.01	0.547406990059226	0.52373	3.0	2.0	2.0	1105.0	850.0	297	113	297	Actinobacteriota	Collinsella sp900765185 vs Collinsella sp900765115	held_out	2.0
GCA_902628525.1__GCA_902591695.1	86.73	0.4654358025085373	0.44444	0.0	2.0	3.0	180.0	190.0	32	53	53	Proteobacteria	Pelagibacter sp902628525 vs Pelagibacter sp902591695	held_out	3.0
GCA_902609285.1__GCA_902604835.1	93.71	0.3583060326617652	0.34884	0.0	3.0	3.0	154.0	139.0	37	29	37	Actinobacteriota	Actinomarina sp902609285 vs Actinomarina sp902604835	held_out	3.0
GCF_004320525.1__GCF_001663775.1	88.21	0.5548748241640845	0.57644	24.0	3.0	26.0	1727.0	1680.0	48	25	48	Actinobacteriota	Pseudarthrobacter sp004320525 vs Pseudarthrobacter sp001663775	held_out	26.0
GCF_000966285.1__GCF_016786355.1	90.15	0.5653409509030963	0.58268	36.0	127.0	14.0	4430.0	4484.0	12	347	347	Actinobacteriota	Frankia sp000966285 vs Frankia sp016786355	held_out	127.0
GCF_900234795.1__GCF_014199985.1	89.02	0.4732534438211213	0.4983	56.0	85.0	18.0	3062.0	3116.0	1	54	54	Proteobacteria	Methylobacterium extorquens vs Methylobacterium rhodesianum	held_out	85.0
GCF_000717645.1__GCF_003610995.1	88.89	0.48511361020388	0.49444	42.0	3.0	60.0	4498.0	4381.0	105	1	105	Actinobacteriota	Streptomyces californicus vs Streptomyces sp003116725	held_out	60.0
GCF_014323405.1__GCA_902362365.1	92.92	0.4222283647165419	0.43939	1.0	5.0	2.0	1130.0	1126.0	38	137	137	Firmicutes_A	GCA-900066495 sp014323405 vs GCA-900066495 sp902362365	held_out	5.0
GCF_001667185.1__GCF_002101815.1	92.06	0.5240883126855941	0.49387	6.0	2.0	3.0	1556.0	1478.0	149	51	149	Actinobacteriota	Mycobacterium sp001667185 vs Mycobacterium paraense	held_out	3.0
GCF_001952855.1__GCF_000346755.1	87.76	0.4386609205865498	0.39597	25.0	5.0	2.0	3337.0	3355.0	55	186	186	Proteobacteria	Pseudomonas_E sp001952855 vs Pseudomonas_E sp000346755	held_out	5.0
GCF_003584685.1__GCA_910589175.1	86.54	0.4355375834393406	0.40777	0.0	1.0	0.0	452.0	465.0	1	47	47	Firmicutes	Lactobacillus paragasseri vs Lactobacillus sp910589175	held_out	1.0
GCF_002259745.1__GCF_018555355.1	88.73	0.5264636393776564	0.45788	14.0	23.0	24.0	2131.0	2136.0	58	37	58	Actinobacteriota	Bifidobacterium myosotis vs Bifidobacterium sp018555355	held_out	24.0
GCF_018207095.1__GCF_900143625.1	87.39	0.5089293984697753	0.5045	0.0	0.0	0.0	3400.0	3342.0	479	210	479	Actinobacteriota	Nocardiopsis sp018207095 vs Nocardiopsis sp900143625	held_out	0.0
GCF_009749465.1__GCF_003384855.1	87.27	0.1785461849386592	0.22551	8.0	11.0	11.0	2230.0	2229.0	27	13	27	Actinobacteriota	Agromyces terreus vs Agromyces sp003384855	held_out	11.0
GCA_017557665.1__GCA_017405965.1	86.92	0.5504607959165052	0.63415	35.0	38.0	31.0	1928.0	1867.0	95	40	95	Bacteroidota	Sodaliphilus sp017557665 vs Sodaliphilus sp017405965	held_out	38.0
GCF_003046425.1__GCF_000306675.2	91.77	0.5391524436120715	0.53814	20.0	5.0	63.0	2928.0	2847.0	69	3	69	Spirochaetota	Leptospira borgpetersenii vs Leptospira mayottensis	held_out	63.0
GCF_002155975.1__GCF_017308975.1	92.07	0.5332165965505425	0.52857	34.0	34.0	36.0	4901.0	4172.0	949	98	949	Actinobacteriota	Amycolatopsis kentuckyensis vs Amycolatopsis sp017308975	held_out	36.0
GCA_900316525.1__GCA_902778105.1	86.14	0.5340606555653257	0.46951	10.0	66.0	63.0	1217.0	1235.0	87	48	87	Bacteroidota	Cryptobacteroides sp900316525 vs Cryptobacteroides sp902778105	held_out	66.0
GCF_000716535.1__GCF_014650035.1	88.86	0.4573357150963768	0.44966	30.0	28.0	30.0	4083.0	4068.0	232	66	232	Actinobacteriota	Streptomyces flaveolus_A vs Streptomyces lucensis	held_out	30.0
GCA_015062085.1__GCA_017939795.1	89.03	0.441157331371897	0.5078	29.0	16.0	43.0	3662.0	3486.0	236	146	236	Planctomycetota	RGIG3701 sp015062085 vs RGIG3701 sp017939795	held_out	43.0
GCF_009858265.1__GCF_900101045.1	92.55	0.308170335955344	0.33105	22.0	35.0	8.0	2031.0	2064.0	1	22	22	Actinobacteriota	Nocardioides sp009858265 vs Nocardioides sp900101045	held_out	35.0
GCF_003002955.1__GCF_900102815.1	88.58	0.3737090791909669	0.42026	33.0	16.0	26.0	2563.0	2560.0	23	20	23	Actinobacteriota	Glycomyces artemisiae vs Glycomyces sambucus	held_out	26.0
GCF_011039175.1__GCA_017945865.1	92.92	0.4498291415323422	0.46328	5.0	2.0	26.0	1342.0	1296.0	40	1	40	Actinobacteriota	D16-34 sp011039175 vs D16-34 sp011392455	held_out	26.0
GCA_000634515.1__GCA_902537445.1	90.89	0.7956225895718194	0.77885	0.0	5.0	4.0	313.0	260.0	237	57	237	Cyanobacteria	Prochlorococcus_A sp000634515 vs Prochlorococcus_A sp902537445	held_out	5.0
GCF_018383905.1__GCF_014844035.1	85.4	0.2952790242909945	0.3	10.0	9.0	31.0	2124.0	2076.0	49	1	49	Bacteroidota	Flavobacterium branchiicola vs Flavobacterium sp014844035	held_out	31.0
GCF_014779655.1__GCF_014653115.1	89.01	0.716321418491025	0.72781	6.0	0.0	0.0	1805.0	1794.0	41	42	42	Actinobacteriota	Nocardioides ganghwensis vs Nocardioides flavus	held_out	0.0
GCA_017526585.1__GCA_902756345.1	88.19	0.4494533944979263	0.48011	61.0	7.0	12.0	1668.0	1599.0	75	28	75	Fibrobacterota	Fibrobacter sp017526585 vs Fibrobacter sp900142495	held_out	12.0
GCA_002394865.1__GCA_902776765.1	87.63	0.4968153412854597	0.47074	27.0	5.0	0.0	2490.0	2608.0	46	119	119	Fibrobacterota	Fibrobacter sp002394865 vs Fibrobacter succinogenes_N	held_out	5.0
GCF_014490035.1__GCF_002966795.1	87.08	0.6994652198781967	0.67198	27.0	64.0	72.0	2454.0	2454.0	1	1	1	Proteobacteria	Achromobacter bronchisepticus_A vs Achromobacter spanius_D	held_out	72.0
GCF_004000745.1__GCA_900766135.1	85.95	0.4476568845881072	0.28163	1.0	3.0	3.0	2125.0	2091.0	165	58	165	Firmicutes	Paenibacillus_A barengoltzii vs Paenibacillus_A sp900766135	held_out	3.0
GCF_017114865.1__GCF_900114215.1	94.25	0.5334404702173656	0.51404	30.0	2.0	3.0	1682.0	1665.0	105	58	105	Actinobacteriota	Streptomyces verrucosisporus vs Streptomyces pini	held_out	3.0
GCA_018060215.1__GCA_017302035.1	87.91	0.4591448755151648	0.55159	1.0	5.0	5.0	1677.0	1566.0	265	125	265	Proteobacteria	Pseudoxanthomonas sp018060215 vs Pseudoxanthomonas sp017302035	held_out	5.0
GCA_016870675.1__GCA_016783995.1	94.44	0.4775852785836093	0.40426	0.0	0.0	0.0	509.0	441.0	372	109	372	Actinobacteriota	Hydromicrobium sp016870675 vs Hydromicrobium sp016783995	held_out	0.0
GCF_900198625.1__GCF_900198365.1	95.54	0.4869195179220151	0.45487	224.0	13.0	14.0	1914.0	1959.0	103	115	115	Campylobacterota	Helicobacter_A rappini vs Helicobacter_A bilis_B	held_out	14.0
GCF_002210435.1__GCF_000145235.1	86.43	0.4934625801088676	0.45122	30.0	4.0	83.0	3624.0	3601.0	150	1	150	Actinobacteriota	Micromonospora wenchangensis vs Micromonospora aurantiaca	held_out	83.0
GCA_017505635.1__GCA_017442085.1	87.78	0.5471681094540354	0.59184	9.0	15.0	11.0	1061.0	1136.0	49	123	123	Firmicutes_A	RGIG3102 sp017505635 vs RGIG3102 sp017442085	held_out	15.0
GCF_004364585.1__GCF_014874065.1	85.96	0.3055510754031066	0.24812	0.0	0.0	0.0	1430.0	1426.0	29	3	29	Actinobacteriota	Nesterenkonia aurantiaca vs Nesterenkonia halotolerans	held_out	0.0
GCF_016894385.1__GCF_003402535.1	92.88	0.407761339933293	0.39415	58.0	37.0	14.0	2192.0	2342.0	2	174	174	Proteobacteria	Cupriavidus oxalaticus vs Cupriavidus sp003402535	held_out	37.0
GCF_004028635.1__GCF_003963535.1	90.37	0.2045873589068985	0.16016	114.0	42.0	171.0	4866.0	4825.0	36	1	36	Actinobacteriota	Streptomyces cyaneus vs Streptomyces cyaneochromogenes	held_out	171.0
GCA_905612295.1__GCA_905612275.1	89.68	0.6798992854712487	0.75	0.0	3.0	4.0	206.0	215.0	61	56	61	Thermoproteota	Nitrosopumilus sp905612295 vs Nitrosopumilus sp905612275	held_out	4.0
GCF_002531905.1__GCF_001664485.1	92.61	0.4641337936600457	0.44963	29.0	8.0	31.0	2564.0	2449.0	113	6	113	Proteobacteria	Rhizobium sp002531905 vs Rhizobium sp001664485	held_out	31.0
GCF_001189365.1__GCF_018408855.1	86.65	0.5358203041919771	0.47545	15.0	6.0	25.0	3201.0	3170.0	446	7	446	Proteobacteria	Caballeronia verschuerenii vs Caballeronia sp018408855	held_out	25.0
GCF_000382345.1__GCF_018119395.1	87.3	0.4494221749431845	0.44772	27.0	1.0	2.0	3074.0	3034.0	143	86	143	Proteobacteria	Massilia niastensis vs Massilia sp018119395	held_out	2.0
GCF_000332515.2__GCF_000332455.1	90.2	0.757933000720773	0.75062	0.0	2.0	1.0	1685.0	1692.0	25	89	89	Spirochaetota	Leptospira_A wolbachii vs Leptospira_A vanthielii	held_out	2.0
GCA_004379115.1__GCA_903848435.1	86.2	0.501054105808025	0.46429	0.0	0.0	0.0	1267.0	1394.0	458	561	561	Actinobacteriota	Mxb001 sp004379115 vs Mxb001 sp903848435	held_out	0.0
GCA_902799355.1__GCA_902798425.1	86.92	0.407761581163711	0.46154	11.0	10.0	9.0	1277.0	1293.0	81	70	81	Bacteroidota	Prevotella sp902799355 vs Prevotella sp902798425	held_out	10.0
GCF_003044645.1__GCF_001618085.1	95.7	0.4511904107721083	0.43647	6.0	3.0	0.0	580.0	648.0	23	67	67	Proteobacteria	Neisseria subflava_B vs Neisseria flavescens_C	held_out	3.0
GCF_001570405.1__GCA_001570385.1	89.16	0.4795311276414418	0.47003	99.0	13.0	13.0	4882.0	4866.0	118	70	118	Actinobacteriota	Microtetraspora niveoalba vs Microtetraspora glauca	held_out	13.0
GCF_001424645.1__GCF_000878135.1	94.56	0.4864766497353838	0.47026	6.0	11.0	1.0	818.0	945.0	5	136	136	Actinobacteriota	Frigoribacterium sp001424645 vs Frigoribacterium sp000878135	held_out	11.0
GCA_902799965.1__GCA_902799665.1	87.45	0.5184805909533337	0.58654	10.0	17.0	17.0	1741.0	1636.0	174	109	174	Spirochaetota	Treponema_D sp902799965 vs Treponema_D sp902799665	held_out	17.0
GCA_902591415.1__GCA_902572345.1	87.4	0.6169531407608079	0.73684	0.0	0.0	0.0	193.0	176.0	44	21	44	Proteobacteria	Pelagibacter_A sp902591415 vs Pelagibacter_A sp902572345	held_out	0.0
GCF_004346385.1__GCF_001008345.1	92.38	0.5940152052664903	0.57983	34.0	10.0	4.0	3077.0	3135.0	47	172	172	Actinobacteriota	Streptomyces sp004346385 vs Streptomyces showdoensis	held_out	10.0
GCF_002096815.1__GCF_002087075.1	92.83	0.4800720838509901	0.48286	53.0	11.0	3.0	1404.0	1420.0	25	111	111	Firmicutes	Streptococcus mitis_AD vs Streptococcus pseudopneumoniae	held_out	11.0
GCF_009377195.2__GCF_002927275.1	85.83	0.3904548441677896	0.29032	11.0	11.0	11.0	1659.0	1660.0	42	46	46	Actinobacteriota	Arthrobacter_D bussei vs Arthrobacter_D pityocampae	held_out	11.0
GCA_902621725.1__GCA_902514875.1	90.92	0.619203899484673	0.58333	0.0	1.0	1.0	230.0	232.0	65	54	65	Proteobacteria	AG-337-I02 sp902621725 vs AG-337-I02 sp902514875	held_out	1.0
GCF_001691565.1__GCF_014204835.1	85.63	0.1230218701839273	0.28058	11.0	1.0	10.0	1224.0	1222.0	10	1	10	Actinobacteriota	Microbacterium oleivorans_B vs Microbacterium marinum	held_out	10.0
GCF_003696305.1__GCF_902506505.1	86.23	0.5715089134463612	0.62963	134.0	17.0	175.0	3075.0	3057.0	59	9	59	Proteobacteria	Pseudomonas_E sp003696305 vs Pseudomonas_E sp902506505	held_out	175.0
GCA_902629695.1__GCA_902565935.1	93.55	0.3888869664745731	0.40323	0.0	0.0	0.0	159.0	156.0	35	34	35	Proteobacteria	Pelagibacter sp902629695 vs Pelagibacter sp902565935	held_out	0.0
GCA_003282965.1__GCA_902569735.1	84.37	0.5158452096222649	0.28571	0.0	3.0	3.0	198.0	202.0	28	32	32	Proteobacteria	Pelagibacter_A sp003282965 vs Pelagibacter_A sp902569735	held_out	3.0
GCA_014156375.1__GCA_002470465.1	85.67	0.5077197994398732	0.53892	8.0	4.0	4.0	1692.0	1736.0	10	60	60	Proteobacteria	Scandinavium sp014156375 vs Scandinavium sp002470465	held_out	4.0
GCF_001425905.1__GCA_902826655.1	85.73	0.5623610442331485	0.58065	27.0	13.0	8.0	2340.0	2475.0	19	153	153	Proteobacteria	Methylibium sp001425905 vs Methylibium sp902826655	held_out	13.0
GCF_003857035.1__GCF_015751785.1	94.29	0.532942991938797	0.54232	40.0	3.0	50.0	2554.0	2298.0	345	1	345	Actinobacteriota	Micromonospora arida vs Micromonospora vinacea	held_out	50.0
GCF_018531375.1__GCF_000218545.1	86.02	0.545416300255994	0.53881	2.0	34.0	28.0	2134.0	2127.0	4	1	4	Actinobacteriota	Cellulomonas sp018531375 vs Cellulomonas gilvus	held_out	34.0
GCF_003942865.1__GCF_001072375.1	86.52	0.5442931398529992	0.5	10.0	5.0	2.0	894.0	935.0	37	120	120	Firmicutes	Streptococcus mitis_BI vs Streptococcus pseudopneumoniae_L	held_out	5.0
GCF_003185805.1__GCF_001449105.1	89.93	0.4320747089605765	0.42157	32.0	4.0	8.0	4507.0	4126.0	588	160	588	Proteobacteria	Caulobacter sp003185805 vs Caulobacter vibrioides_C	held_out	8.0
GCA_900555465.1__GCA_019113065.1	89.73	0.5094496033101682	0.50774	4.0	5.0	8.0	1324.0	1130.0	392	193	392	Firmicutes_A	Agathobaculum intestinigallinarum vs Agathobaculum stercoravium	held_out	8.0
GCF_002155915.1__GCF_001906585.1	90.74	0.54101418742078	0.55299	9.0	10.0	13.0	3903.0	3679.0	651	782	782	Actinobacteriota	Streptomyces thermovulgaris vs Streptomyces kebangsaanensis	held_out	13.0
GCA_003210015.1__GCA_902592325.1	84.87	0.4336261108195762	0.33333	0.0	1.0	2.0	259.0	247.0	59	43	59	Proteobacteria	Pelagibacter sp003210015 vs Pelagibacter sp902592325	held_out	2.0
GCF_000876655.1__GCF_018613755.1	87.09	0.5162046963707986	0.53503	10.0	1.0	1.0	1870.0	1873.0	38	60	60	Actinobacteriota	Arthrobacter_I sp000876655 vs Arthrobacter_I sp018613755	held_out	1.0
GCA_001629235.1__GCA_902601345.1	93.63	0.5695224278446127	0.60664	0.0	4.0	3.0	335.0	257.0	144	37	144	Thermoplasmatota	MGIIb-O3 sp001629235 vs MGIIb-O3 sp902601345	held_out	4.0
GCA_012511235.1__GCA_002432715.1	85.23	0.5067143847725034	0.49123	0.0	0.0	0.0	1221.0	929.0	591	112	591	Spirochaetota	Sphaerochaeta sp012511235 vs Sphaerochaeta sp002432715	held_out	0.0
GCF_018343775.1__GCF_000452705.1	85.21	0.6546424880996528	0.66207	29.0	52.0	70.0	2022.0	2021.0	1	2	2	Proteobacteria	Pseudomonas_E cichorii vs Pseudomonas_E syringae_F	held_out	70.0
GCF_009696315.1__GCF_001642025.1	84.88	0.3413076007048847	0.28986	0.0	3.0	2.0	909.0	916.0	19	29	29	Actinobacteriota	Cutibacterium porci vs Cutibacterium namnetense	held_out	3.0
GCF_014467235.1__GCF_002632465.1	93.44	0.5403894334499479	0.57843	23.0	11.0	16.0	1693.0	1743.0	155	200	200	Proteobacteria	Xenorhabdus indica vs Xenorhabdus budapestensis	held_out	16.0
